usec,rovCtdDtg,rovCtdDtgFlag,vehicle,depth,depthFlag,temper,temperFlag,salin,salinFlag,oxyg,oxygFlag,light,lightFlag,sound,soundFlag,sigmatheta,sigmathetaFlag,lat,latFlag,lon,lonFlag
1371427200,06/17/2013 00:00:00,2,docr,1415.98,2,2.952,2,34.547,2,0.923,2,84.87,2,1485.221,2,27.5371,2,35.160956,2,-122.949798,2
1371427215,06/17/2013 00:00:15,2,docr,1404.64,2,2.972,2,34.547,2,0.912,2,84.88,2,1485.115,2,27.5352,2,35.160971,2,-122.949824,2
1371427230,06/17/2013 00:00:30,2,docr,1395.57,2,2.986,2,34.545,2,0.904,2,84.88,2,1485.019,2,27.5323,2,35.16096046,2,-122.9498416,2
1371427245,06/17/2013 00:00:45,2,docr,1386.49,2,3.004,2,34.544,2,0.894,2,84.87,2,1484.941,2,27.5298,2,35.16094426,2,-122.9498548,2
1371427260,06/17/2013 00:01:00,2,docr,1377.42,2,3.02,2,34.544,2,0.89,2,84.87,2,1484.856,2,27.5283,2,35.160921,2,-122.949866,2
1371427275,06/17/2013 00:01:15,2,docr,1368.25,2,3.039,2,34.543,2,0.882,2,84.87,2,1484.781,2,27.5258,2,35.16094086,2,-122.94987513,2
1371427290,06/17/2013 00:01:30,2,docr,1359.18,2,3.054,2,34.541,2,0.868,2,84.87,2,1484.689,2,27.5227,2,35.16093093,2,-122.94987406,2
1371427305,06/17/2013 00:01:45,2,docr,1350.01,2,3.074,2,34.54,2,0.855,2,84.86,2,1484.619,2,27.5201,2,35.160898,2,-122.949869,2
1371427320,06/17/2013 00:02:00,2,docr,1340.93,2,3.094,2,34.54,2,0.849,2,84.86,2,1484.551,2,27.5182,2,35.16089746,2,-122.949853,2
1371427335,06/17/2013 00:02:15,2,docr,1331.96,2,3.102,2,34.538,2,0.844,2,84.85,2,1484.431,2,27.5158,2,35.1608996,2,-122.94985273,2
1371427350,06/17/2013 00:02:30,2,docr,1322.88,2,3.121,2,34.538,2,0.836,2,84.85,2,1484.359,2,27.514,2,35.160899,2,-122.949877,2
1371427365,06/17/2013 00:02:45,2,docr,1313.91,2,3.135,2,34.536,2,0.828,2,84.85,2,1484.264,2,27.5111,2,35.16089,2,-122.94985126,2
1371427380,06/17/2013 00:03:00,2,docr,1304.93,2,3.145,2,34.535,2,0.818,2,84.85,2,1484.154,2,27.5093,2,35.16088513,2,-122.94983913,2
1371427395,06/17/2013 00:03:15,2,docr,1295.95,2,3.164,2,34.535,2,0.814,2,84.85,2,1484.084,2,27.5075,2,35.16088,2,-122.949822,2
1371427410,06/17/2013 00:03:30,2,docr,1286.98,2,3.176,2,34.532,2,0.801,2,84.85,2,1483.979,2,27.5039,2,35.16085533,2,-122.94983106,2
1371427425,06/17/2013 00:03:45,2,docr,1278,2,3.193,2,34.53,2,0.786,2,84.83,2,1483.898,2,27.5007,2,35.16084253,2,-122.94983533,2
1371427440,06/17/2013 00:04:00,2,docr,1269.02,2,3.21,2,34.53,2,0.778,2,84.83,2,1483.819,2,27.4991,2,35.1608252,2,-122.9498492,2
1371427455,06/17/2013 00:04:15,2,docr,1260.04,2,3.242,2,34.528,2,0.766,2,84.83,2,1483.801,2,27.4945,2,35.16082133,2,-122.9498448,2
1371427470,06/17/2013 00:04:30,2,docr,1251.06,2,3.261,2,34.524,2,0.755,2,84.85,2,1483.725,2,27.4895,2,35.16082226,2,-122.9498442,2
1371427485,06/17/2013 00:04:45,2,docr,1242.18,2,3.287,2,34.522,2,0.743,2,84.86,2,1483.684,2,27.4854,2,35.160854,2,-122.949903,2
1371427500,06/17/2013 00:05:00,2,docr,1233.2,2,3.32,2,34.52,2,0.729,2,84.85,2,1483.67,2,27.4806,2,35.16082386,2,-122.9499006,2
1371427515,06/17/2013 00:05:15,2,docr,1224.12,2,3.338,2,34.518,2,0.718,2,84.85,2,1483.591,2,27.4773,2,35.160789,2,-122.949897,2
1371427530,06/17/2013 00:05:30,2,docr,1215.14,2,3.354,2,34.516,2,0.708,2,84.86,2,1483.505,2,27.4741,2,35.1607498,2,-122.94986906,2
1371427545,06/17/2013 00:05:45,2,docr,1206.06,2,3.365,2,34.514,2,0.701,2,84.86,2,1483.396,2,27.4714,2,35.1607594,2,-122.9498876,2
1371427560,06/17/2013 00:06:00,2,docr,1196.98,2,3.381,2,34.514,2,0.693,2,84.85,2,1483.311,2,27.4699,2,35.160767,2,-122.94991,2
1371427575,06/17/2013 00:06:15,2,docr,1187.9,2,3.407,2,34.512,2,0.677,2,84.84,2,1483.266,2,27.4657,2,35.1607754,2,-122.94994826,2
1371427590,06/17/2013 00:06:30,2,docr,1178.82,2,3.427,2,34.51,2,0.661,2,84.84,2,1483.195,2,27.4622,2,35.16075786,2,-122.9499382,2
1371427605,06/17/2013 00:06:45,2,docr,1169.74,2,3.453,2,34.508,2,0.649,2,84.83,2,1483.15,2,27.458,2,35.16072,2,-122.949911,2
1371427620,06/17/2013 00:07:00,2,docr,1160.56,2,3.481,2,34.508,2,0.638,2,84.82,2,1483.114,2,27.4553,2,35.16076426,2,-122.94993286,2
1371427635,06/17/2013 00:07:15,2,docr,1151.48,2,3.5,2,34.507,2,0.633,2,84.82,2,1483.04,2,27.4526,2,35.16076033,2,-122.94991633,2
1371427650,06/17/2013 00:07:30,2,docr,1142.4,2,3.519,2,34.505,2,0.624,2,84.81,2,1482.965,2,27.4491,2,35.160741,2,-122.949875,2
1371427665,06/17/2013 00:07:45,2,docr,1133.12,2,3.551,2,34.504,2,0.612,2,84.81,2,1482.943,2,27.4452,2,35.16072313,2,-122.94985233,2
1371427680,06/17/2013 00:08:00,2,docr,1123.93,2,3.573,2,34.502,2,0.604,2,84.8,2,1482.879,2,27.4414,2,35.16073993,2,-122.949847,2
1371427695,06/17/2013 00:08:15,2,docr,1114.75,2,3.603,2,34.5,2,0.592,2,84.81,2,1482.848,2,27.4368,2,35.160767,2,-122.94985,2
1371427710,06/17/2013 00:08:30,2,docr,1105.57,2,3.626,2,34.498,2,0.583,2,84.81,2,1482.788,2,27.4329,2,35.1608022,2,-122.94985,2
1371427725,06/17/2013 00:08:45,2,docr,1096.39,2,3.653,2,34.496,2,0.571,2,84.8,2,1482.745,2,27.4286,2,35.1607922,2,-122.9498562,2
1371427740,06/17/2013 00:09:00,2,docr,1087.2,2,3.681,2,34.492,2,0.557,2,84.81,2,1482.704,2,27.4226,2,35.1607318,2,-122.94986886,2
1371427755,06/17/2013 00:09:15,2,docr,1078.02,2,3.7,2,34.488,2,0.542,2,84.81,2,1482.624,2,27.4175,2,35.16074066,2,-122.94988333,2
1371427770,06/17/2013 00:09:30,2,docr,1068.74,2,3.717,2,34.486,2,0.531,2,84.81,2,1482.537,2,27.4142,2,35.16074026,2,-122.94989233,2
1371427785,06/17/2013 00:09:45,2,docr,1059.45,2,3.735,2,34.483,2,0.52,2,84.82,2,1482.453,2,27.4099,2,35.160723,2,-122.949896,2
1371427800,06/17/2013 00:10:00,2,docr,1050.17,2,3.757,2,34.482,2,0.513,2,84.81,2,1482.388,2,27.4069,2,35.1607156,2,-122.94987206,2
1371427815,06/17/2013 00:10:15,2,docr,1040.89,2,3.79,2,34.479,2,0.5,2,84.81,2,1482.367,2,27.4011,2,35.16071153,2,-122.9498524,2
1371427830,06/17/2013 00:10:30,2,docr,1031.5,2,3.814,2,34.476,2,0.489,2,84.82,2,1482.306,2,27.3963,2,35.1607058,2,-122.949844,2
1371427845,06/17/2013 00:10:45,2,docr,1022.12,2,3.835,2,34.474,2,0.478,2,84.81,2,1482.235,2,27.3925,2,35.16069793,2,-122.949837,2
1371427860,06/17/2013 00:11:00,2,docr,1012.83,2,3.87,2,34.474,2,0.472,2,84.8,2,1482.225,2,27.3889,2,35.160691,2,-122.94983,2
1371427875,06/17/2013 00:11:15,2,docr,1003.55,2,3.892,2,34.469,2,0.467,2,84.81,2,1482.155,2,27.3827,2,35.1606644,2,-122.94984413,2
1371427890,06/17/2013 00:11:30,2,docr,994.26,2,3.903,2,34.466,2,0.452,2,84.81,2,1482.042,2,27.3791,2,35.16067653,2,-122.94983726,2
1371427905,06/17/2013 00:11:45,2,docr,984.87,2,3.925,2,34.465,2,0.446,2,84.81,2,1481.975,2,27.376,2,35.160692,2,-122.949813,2
1371427920,06/17/2013 00:12:00,2,docr,975.39,2,3.948,2,34.463,2,0.437,2,84.81,2,1481.91,2,27.372,2,35.1606802,2,-122.9498748,2
1371427935,06/17/2013 00:12:15,2,docr,965.41,2,3.969,2,34.462,2,0.431,2,84.8,2,1481.829,2,27.369,2,35.16067926,2,-122.94986346,2
1371427950,06/17/2013 00:12:30,2,docr,955.43,2,3.991,2,34.461,2,0.427,2,84.8,2,1481.753,2,27.3659,2,35.160685,2,-122.94985,2
