usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001165968000,2006,347,00:00:00,4020.1, 1.504,3.15878,1.3106, 0.00,,4.2873,35.164632,-123.012734,3953.5,34.532, 1.184, 2.95, 82.1,0.790,1522.9,27.634,27.657
001165968015,2006,347,00:00:15,4020.3, 1.504,3.15871,1.3114, 0.00,,4.2879,35.164617,-123.012736,3953.8,34.531, 1.184, 2.96, 82.1,0.789,1522.9,27.634,27.656
001165968030,2006,347,00:00:30,4020.3, 1.504,3.15868,1.3118, 0.00,,4.2875,35.164499,-123.012748,3953.8,34.531, 1.183, 2.96, 82.1,0.790,1522.9,27.634,27.656
001165968045,2006,347,00:00:45,4020.3, 1.503,3.15869,1.3120, 0.00,,4.2863,35.164566,-123.012807,3953.7,34.532, 1.183, 2.96, 82.1,0.791,1522.9,27.634,27.657
001165968060,2006,347,00:01:00,4020.3, 1.504,3.15870,1.3118, 0.00,,4.2763,35.164543,-123.012938,3953.8,34.531, 1.184, 2.96, 81.9,0.800,1522.9,27.634,27.656
001165968075,2006,347,00:01:15,4020.5, 1.504,3.15864,1.3116, 0.00,,4.2793,35.164507,-123.012937,3953.9,34.530, 1.184, 2.96, 81.9,0.797,1522.9,27.633,27.656
001165968090,2006,347,00:01:30,4020.4, 1.504,3.15867,1.3117, 0.00,,4.2769,35.164495,-123.012951,3953.9,34.531, 1.183, 2.96, 81.9,0.800,1522.9,27.634,27.656
001165968105,2006,347,00:01:45,4020.4, 1.504,3.15866,1.3113, 0.00,,4.2816,35.164501,-123.012813,3953.8,34.531, 1.183, 2.96, 82.0,0.795,1522.9,27.633,27.656
001165968120,2006,347,00:02:00,4020.5, 1.503,3.15865,1.3109, 0.00,,4.2860,35.164420,-123.012801,3954.0,34.531, 1.183, 2.95, 82.1,0.791,1522.9,27.633,27.656
001165968135,2006,347,00:02:15,4020.6, 1.503,3.15865,1.3114, 0.00,,4.2873,35.164369,-123.012811,3954.1,34.531, 1.183, 2.96, 82.1,0.790,1522.9,27.634,27.656
001165968150,2006,347,00:02:30,4020.5, 1.503,3.15867,1.3114, 0.00,,4.2814,35.164280,-123.012891,3954.0,34.531, 1.183, 2.96, 82.0,0.795,1522.9,27.634,27.656
001165968165,2006,347,00:02:45,4020.6, 1.505,3.15871,1.3113, 0.00,,4.2827,35.164301,-123.012891,3954.0,34.530, 1.184, 2.96, 82.0,0.794,1522.9,27.633,27.656
001165968180,2006,347,00:03:00,4020.6, 1.503,3.15870,1.3112, 0.00,,4.2401,35.164321,-123.012886,3954.0,34.532, 1.183, 2.96, 81.2,0.835,1522.9,27.634,27.657
001165968195,2006,347,00:03:15,4020.5, 1.503,3.15868,1.3113, 0.00,,4.2522,35.164265,-123.012870,3954.0,34.532, 1.183, 2.96, 81.4,0.823,1522.9,27.634,27.657
001165968210,2006,347,00:03:30,4020.1, 1.503,3.15869,1.3116, 0.00,,4.2634,35.164267,-123.012864,3953.6,34.532, 1.183, 2.96, 81.6,0.813,1522.9,27.634,27.657
001165968225,2006,347,00:03:45,4018.6, 1.504,3.15864,1.3113, 0.00,,4.2842,35.164235,-123.012777,3952.1,34.531, 1.184, 2.96, 82.0,0.793,1522.9,27.634,27.656
