usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001166140800,2006,349,00:00:00,4021.3, 1.511,3.15846,1.4283, 0.00,,4.2933,35.161896,-123.013329,3954.7,34.520, 1.190, 3.42, 82.2,0.784,1522.9,27.624,27.647
001166140815,2006,349,00:00:15,4021.3, 1.509,3.15842,1.4354, 0.00,,4.2934,35.161821,-123.012271,3954.7,34.522, 1.188, 3.44, 82.2,0.784,1522.9,27.626,27.649
001166140830,2006,349,00:00:30,4021.3, 1.506,3.15841,1.4350, 0.00,,4.2932,35.161741,-123.012150,3954.7,34.525, 1.186, 3.44, 82.2,0.784,1522.9,27.628,27.651
001166140845,2006,349,00:00:45,4021.3, 1.507,3.15845,1.4368, 0.00,,4.2924,35.161746,-123.012152,3954.7,34.524, 1.186, 3.45, 82.2,0.785,1522.9,27.628,27.651
001166140860,2006,349,00:01:00,4021.3, 1.508,3.15842,1.4351, 0.00,,4.2925,35.162065,-123.014307,3954.7,34.523, 1.188, 3.44, 82.2,0.785,1522.9,27.627,27.649
001166140875,2006,349,00:01:15,4021.3, 1.505,3.15841,1.4341, 0.00,,4.2929,35.162297,-123.015927,3954.7,34.526, 1.184, 3.44, 82.2,0.785,1522.9,27.630,27.652
001166140890,2006,349,00:01:30,4021.3, 1.506,3.15842,1.4341, 0.00,,4.2928,35.162297,-123.015927,3954.7,34.525, 1.185, 3.44, 82.2,0.785,1522.9,27.629,27.651
001166140905,2006,349,00:01:45,4021.3, 1.505,3.15837,1.4352, 0.00,,4.2927,35.162296,-123.015925,3954.7,34.525, 1.185, 3.44, 82.2,0.785,1522.9,27.629,27.651
001166140920,2006,349,00:02:00,4021.3, 1.508,3.15844,1.4338, 0.00,,4.2923,35.162191,-123.014735,3954.7,34.523, 1.187, 3.44, 82.2,0.785,1522.9,27.627,27.650
001166140935,2006,349,00:02:15,4021.3, 1.510,3.15838,1.4352, 0.00,,4.2921,35.162258,-123.014746,3954.7,34.521, 1.189, 3.44, 82.2,0.785,1522.9,27.625,27.647
001166140950,2006,349,00:02:30,4021.3, 1.508,3.15840,1.4334, 0.00,,4.2931,35.161945,-123.014684,3954.7,34.523, 1.187, 3.44, 82.2,0.784,1522.9,27.627,27.649
001166140965,2006,349,00:02:45,4021.3, 1.509,3.15839,1.4305, 0.00,,4.2925,35.161800,-123.014306,3954.7,34.521, 1.189, 3.43, 82.2,0.785,1522.9,27.625,27.648
