usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001170374400,2007,033,00:00:00,4018.0, 1.504,3.15419,1.2826, 0.00,,4.2139,35.166465,-123.011732,3951.5,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.591,27.613
001170374415,2007,033,00:00:15,4018.1, 1.503,3.15421,1.2823, 0.00,,4.2141,35.166352,-123.011201,3951.6,34.478, 1.184, 2.84, 80.7,0.860,1522.8,27.591,27.613
001170374430,2007,033,00:00:30,4017.8, 1.504,3.15415,1.2823, 0.00,,4.2139,35.166360,-123.011193,3951.3,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374445,2007,033,00:00:45,4017.9, 1.504,3.15416,1.2824, 0.00,,4.2140,35.166348,-123.011203,3951.4,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374460,2007,033,00:01:00,4017.7, 1.504,3.15416,1.2820, 0.00,,4.2138,35.166346,-123.011213,3951.2,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170374475,2007,033,00:01:15,4017.9, 1.504,3.15412,1.2824, 0.00,,4.2140,35.166374,-123.011228,3951.4,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374490,2007,033,00:01:30,4017.8, 1.504,3.15418,1.2821, 0.00,,4.2139,35.166387,-123.011250,3951.4,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170374505,2007,033,00:01:45,4017.7, 1.504,3.15411,1.2820, 0.00,,4.2141,35.166407,-123.011258,3951.2,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374520,2007,033,00:02:00,4017.9, 1.504,3.15416,1.2823, 0.00,,4.2139,35.166424,-123.011248,3951.5,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374535,2007,033,00:02:15,4017.9, 1.503,3.15406,1.2818, 0.00,,4.2129,35.166433,-123.011238,3951.5,34.476, 1.184, 2.84, 80.6,0.861,1522.8,27.590,27.612
001170374550,2007,033,00:02:30,4018.0, 1.504,3.15413,1.2820, 0.00,,4.2138,35.166450,-123.011248,3951.5,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374565,2007,033,00:02:45,4017.8, 1.504,3.15407,1.2819, 0.00,,4.2141,35.166467,-123.011240,3951.3,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170374580,2007,033,00:03:00,4017.8, 1.504,3.15412,1.2821, 0.00,,4.2134,35.166472,-123.011248,3951.3,34.476, 1.184, 2.84, 80.6,0.860,1522.8,27.590,27.612
001170374595,2007,033,00:03:15,4017.9, 1.504,3.15415,1.2823, 0.00,,4.2135,35.166486,-123.011245,3951.4,34.477, 1.184, 2.84, 80.6,0.860,1522.8,27.590,27.613
001170374610,2007,033,00:03:30,4017.7, 1.504,3.15410,1.2820, 0.00,,4.2135,35.166641,-123.011213,3951.3,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170374625,2007,033,00:03:45,4017.6, 1.504,3.15408,1.2818, 0.00,,4.2135,35.166692,-123.011178,3951.2,34.476, 1.184, 2.84, 80.6,0.860,1522.8,27.589,27.612
001170374640,2007,033,00:04:00,4017.7, 1.504,3.15408,1.2823, 0.00,,4.2136,35.166695,-123.011182,3951.2,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170374655,2007,033,00:04:15,4017.6, 1.503,3.15407,1.2818, 0.00,,4.2137,35.166712,-123.011162,3951.1,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374670,2007,033,00:04:30,4017.3, 1.503,3.15407,1.2819, 0.00,,4.2138,35.166727,-123.011148,3950.8,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374685,2007,033,00:04:45,4017.3, 1.504,3.15407,1.2817, 0.00,,4.2137,35.166739,-123.011131,3950.9,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170374700,2007,033,00:05:00,4016.8, 1.503,3.15402,1.2821, 0.00,,4.2131,35.166747,-123.011111,3950.4,34.476, 1.184, 2.84, 80.6,0.861,1522.8,27.589,27.612
001170374715,2007,033,00:05:15,4017.3, 1.504,3.15408,1.2816, 0.00,,4.2132,35.166750,-123.011094,3950.8,34.475, 1.185, 2.84, 80.6,0.860,1522.8,27.589,27.611
001170374730,2007,033,00:05:30,4017.6, 1.504,3.15409,1.2818, 0.00,,4.2131,35.166732,-123.011079,3951.2,34.476, 1.184, 2.84, 80.6,0.861,1522.8,27.589,27.612
001170374745,2007,033,00:05:45,4017.4, 1.504,3.15407,1.2822, 0.00,,4.2135,35.166721,-123.011052,3950.9,34.475, 1.185, 2.84, 80.7,0.860,1522.8,27.589,27.611
001170374760,2007,033,00:06:00,4017.3, 1.506,3.15445,1.2819, 0.00,,4.2135,35.166710,-123.011025,3950.8,34.479, 1.186, 2.84, 80.6,0.860,1522.8,27.591,27.614
001170374775,2007,033,00:06:15,4017.7, 1.504,3.15413,1.2818, 0.00,,4.2132,35.166688,-123.010983,3951.2,34.477, 1.184, 2.84, 80.6,0.861,1522.8,27.590,27.612
001170374790,2007,033,00:06:30,4017.7, 1.503,3.15415,1.2817, 0.00,,4.2136,35.166675,-123.010972,3951.2,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.591,27.613
001170374805,2007,033,00:06:45,4017.9, 1.503,3.15419,1.2820, 0.00,,4.2134,35.166667,-123.010966,3951.4,34.477, 1.184, 2.84, 80.6,0.860,1522.8,27.591,27.613
001170374820,2007,033,00:07:00,4017.9, 1.504,3.15415,1.2814, 0.00,,4.2138,35.166645,-123.010965,3951.5,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374835,2007,033,00:07:15,4018.1, 1.504,3.15418,1.2816, 0.00,,4.2138,35.166628,-123.010963,3951.6,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374850,2007,033,00:07:30,4018.0, 1.503,3.15416,1.2820, 0.00,,4.2137,35.166613,-123.010961,3951.5,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.591,27.613
001170374865,2007,033,00:07:45,4017.9, 1.504,3.15422,1.2817, 0.00,,4.2140,35.166603,-123.010956,3951.4,34.478, 1.184, 2.84, 80.7,0.860,1522.8,27.591,27.613
001170374880,2007,033,00:08:00,4018.0, 1.503,3.15416,1.2817, 0.00,,4.2139,35.166589,-123.010953,3951.6,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170374895,2007,033,00:08:15,4018.1, 1.503,3.15418,1.2818, 0.00,,4.2135,35.166606,-123.010943,3951.6,34.477, 1.184, 2.84, 80.6,0.860,1522.8,27.591,27.613
001170374910,2007,033,00:08:30,4018.1, 1.503,3.15417,1.2817, 0.00,,4.2141,35.166493,-123.011016,3951.6,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.591,27.613
001170374925,2007,033,00:08:45,4018.2, 1.504,3.15417,1.2817, 0.00,,4.2139,35.166305,-123.010937,3951.7,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170374940,2007,033,00:09:00,4018.0, 1.503,3.15414,1.2818, 0.00,,4.2138,35.166291,-123.010929,3951.5,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170374955,2007,033,00:09:15,4018.3, 1.503,3.15416,1.2824, 0.00,,4.2140,35.166238,-123.010953,3951.8,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170374970,2007,033,00:09:30,4018.3, 1.504,3.15416,1.2819, 0.00,,4.2137,35.166207,-123.010979,3951.8,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170374985,2007,033,00:09:45,4018.3, 1.503,3.15414,1.2816, 0.00,,4.2141,35.166199,-123.010978,3951.8,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170375000,2007,033,00:10:00,4018.1, 1.503,3.15410,1.2818, 0.00,,4.2140,35.166198,-123.010974,3951.6,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170375015,2007,033,00:10:15,4018.1, 1.503,3.15414,1.2813, 0.00,,4.2138,35.166180,-123.010964,3951.6,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170375030,2007,033,00:10:30,4018.3, 1.503,3.15412,1.2821, 0.00,,4.2138,35.166161,-123.010951,3951.8,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170375045,2007,033,00:10:45,4018.3, 1.503,3.15413,1.2821, 0.00,,4.2140,35.166171,-123.010913,3951.8,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170375060,2007,033,00:11:00,4018.3, 1.503,3.15413,1.2823, 0.00,,4.2137,35.166157,-123.010923,3951.8,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.591,27.613
001170375075,2007,033,00:11:15,4018.3, 1.503,3.15413,1.2820, 0.00,,4.2140,35.166139,-123.010920,3951.8,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.590,27.613
001170375090,2007,033,00:11:30,4018.2, 1.503,3.15409,1.2822, 0.00,,4.2139,35.166131,-123.010904,3951.7,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170375105,2007,033,00:11:45,4018.3, 1.504,3.15412,1.2817, 0.00,,4.2129,35.166121,-123.010904,3951.8,34.476, 1.184, 2.84, 80.6,0.861,1522.8,27.589,27.612
001170375120,2007,033,00:12:00,4018.2, 1.503,3.15409,1.2823, 0.00,,4.2140,35.166083,-123.010924,3951.7,34.477, 1.183, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170375135,2007,033,00:12:15,4017.9, 1.504,3.15409,1.2823, 0.00,,4.2140,35.166057,-123.010927,3951.5,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170375150,2007,033,00:12:30,4017.7, 1.505,3.15414,1.2824, 0.00,,4.2140,35.166028,-123.010939,3951.2,34.476, 1.185, 2.84, 80.7,0.860,1522.8,27.589,27.611
