usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001181088000,2007,157,00:00:00,3268.1, 1.609,3.13496,1.3749, 0.00,,4.4980,35.163628,-123.007546,3219.6,34.455, 1.365, 2.49, 91.3,0.363,1510.3,27.565,27.583
001181088015,2007,157,00:00:15,3262.9, 1.609,3.13480,1.3752, 0.00,,4.4978,35.163608,-123.007589,3214.5,34.456, 1.366, 2.49, 91.3,0.363,1510.2,27.565,27.583
001181088030,2007,157,00:00:30,3255.8, 1.610,3.13462,1.3749, 0.00,,4.4977,35.163606,-123.007599,3207.5,34.456, 1.367, 2.48, 91.3,0.363,1510.1,27.565,27.583
001181088045,2007,157,00:00:45,3249.5, 1.611,3.13437,1.3752, 0.00,,4.4979,35.163605,-123.007615,3201.3,34.455, 1.368, 2.48, 91.3,0.363,1510.0,27.564,27.582
001181088060,2007,157,00:01:00,3242.5, 1.611,3.13421,1.3751, 0.00,,4.4977,35.163606,-123.007603,3194.5,34.455, 1.370, 2.48, 91.3,0.363,1509.9,27.565,27.582
001181088075,2007,157,00:01:15,3235.1, 1.613,3.13404,1.3749, 0.00,,4.4977,35.163597,-123.007612,3187.3,34.455, 1.372, 2.48, 91.3,0.363,1509.8,27.564,27.582
001181088090,2007,157,00:01:30,3227.8, 1.615,3.13388,1.3744, 0.00,,4.4978,35.163601,-123.007602,3180.2,34.454, 1.375, 2.47, 91.3,0.363,1509.7,27.564,27.581
001181088105,2007,157,00:01:45,3220.4, 1.616,3.13370,1.3744, 0.00,,4.4975,35.163606,-123.007606,3172.9,34.454, 1.376, 2.47, 91.3,0.363,1509.5,27.564,27.581
001181088120,2007,157,00:02:00,3213.0, 1.617,3.13363,1.3741, 0.00,,4.4975,35.163605,-123.007612,3165.6,34.456, 1.378, 2.47, 91.3,0.363,1509.4,27.565,27.582
001181088135,2007,157,00:02:15,3206.2, 1.617,3.13340,1.3741, 0.00,,4.4979,35.163585,-123.007608,3159.0,34.456, 1.379, 2.46, 91.3,0.363,1509.3,27.565,27.582
001181088150,2007,157,00:02:30,3199.1, 1.618,3.13306,1.3732, 0.00,,4.4977,35.163574,-123.007609,3152.0,34.454, 1.380, 2.46, 91.3,0.363,1509.2,27.563,27.580
001181088165,2007,157,00:02:45,3191.7, 1.619,3.13286,1.3735, 0.00,,4.4975,35.163574,-123.007635,3144.8,34.453, 1.382, 2.46, 91.3,0.363,1509.1,27.563,27.580
001181088180,2007,157,00:03:00,3184.5, 1.621,3.13276,1.3739, 0.00,,4.4975,35.163576,-123.007667,3137.8,34.454, 1.384, 2.46, 91.3,0.363,1508.9,27.563,27.580
001181088195,2007,157,00:03:15,3178.2, 1.622,3.13268,1.3739, 0.00,,4.4977,35.163589,-123.007670,3131.6,34.454, 1.386, 2.45, 91.3,0.363,1508.8,27.563,27.580
001181088210,2007,157,00:03:30,3171.0, 1.623,3.13238,1.3742, 0.00,,4.4975,35.163575,-123.007670,3124.6,34.453, 1.388, 2.45, 91.3,0.363,1508.7,27.562,27.579
001181088225,2007,157,00:03:45,3163.8, 1.623,3.13217,1.3742, 0.00,,4.4976,35.163574,-123.007673,3117.6,34.453, 1.389, 2.45, 91.3,0.363,1508.6,27.562,27.579
001181088240,2007,157,00:04:00,3156.8, 1.624,3.13197,1.3734, 0.00,,4.4976,35.163575,-123.007719,3110.7,34.453, 1.391, 2.44, 91.3,0.363,1508.5,27.562,27.579
001181088255,2007,157,00:04:15,3149.8, 1.625,3.13187,1.3736, 0.00,,4.4978,35.163575,-123.007712,3103.8,34.453, 1.392, 2.44, 91.3,0.363,1508.4,27.562,27.579
001181088270,2007,157,00:04:30,3142.5, 1.628,3.13165,1.3738, 0.00,,4.4969,35.163575,-123.007727,3096.7,34.451, 1.396, 2.44, 91.3,0.364,1508.2,27.560,27.577
001181088285,2007,157,00:04:45,3135.3, 1.630,3.13151,1.3734, 0.00,,4.4977,35.163574,-123.007731,3089.6,34.451, 1.398, 2.44, 91.3,0.363,1508.1,27.560,27.577
001181088300,2007,157,00:05:00,3128.0, 1.632,3.13140,1.3729, 0.00,,4.4977,35.163575,-123.007728,3082.5,34.451, 1.401, 2.43, 91.3,0.363,1508.0,27.560,27.577
001181088315,2007,157,00:05:15,3120.8, 1.634,3.13139,1.3724, 0.00,,4.4976,35.163574,-123.007711,3075.4,34.452, 1.403, 2.43, 91.3,0.363,1507.9,27.561,27.577
001181088330,2007,157,00:05:30,3113.4, 1.634,3.13126,1.3717, 0.00,,4.4978,35.163574,-123.007711,3068.3,34.454, 1.404, 2.42, 91.3,0.363,1507.8,27.562,27.579
001181088345,2007,157,00:05:45,3106.4, 1.634,3.13098,1.3712, 0.00,,4.4980,35.163560,-123.007734,3061.3,34.453, 1.405, 2.42, 91.3,0.363,1507.7,27.561,27.578
001181088360,2007,157,00:06:00,3099.3, 1.635,3.13067,1.3708, 0.00,,4.4979,35.163574,-123.007737,3054.4,34.451, 1.407, 2.42, 91.3,0.363,1507.5,27.560,27.576
001181088375,2007,157,00:06:15,3092.0, 1.638,3.13054,1.3708, 0.00,,4.4976,35.163574,-123.007755,3047.3,34.450, 1.411, 2.41, 91.3,0.363,1507.4,27.558,27.575
001181088390,2007,157,00:06:30,3084.8, 1.641,3.13062,1.3709, 0.00,,4.4972,35.163574,-123.007752,3040.2,34.451, 1.414, 2.41, 91.3,0.364,1507.3,27.560,27.576
001181088405,2007,157,00:06:45,3078.8, 1.643,3.13069,1.3702, 0.00,,4.4969,35.163574,-123.007779,3034.4,34.452, 1.417, 2.41, 91.3,0.364,1507.2,27.560,27.576
001181088420,2007,157,00:07:00,3072.2, 1.645,3.13056,1.3700, 0.00,,4.4971,35.163574,-123.007776,3027.9,34.452, 1.419, 2.40, 91.3,0.364,1507.1,27.560,27.576
001181088435,2007,157,00:07:15,3065.4, 1.646,3.13042,1.3693, 0.00,,4.4972,35.163574,-123.007767,3021.2,34.452, 1.420, 2.40, 91.3,0.364,1507.0,27.560,27.576
001181088450,2007,157,00:07:30,3058.7, 1.647,3.13017,1.3692, 0.00,,4.4972,35.163574,-123.007791,3014.6,34.451, 1.422, 2.40, 91.3,0.364,1506.9,27.559,27.575
001181088465,2007,157,00:07:45,3052.2, 1.648,3.13008,1.3689, 0.00,,4.4969,35.163574,-123.007795,3008.3,34.452, 1.424, 2.39, 91.3,0.364,1506.8,27.559,27.576
001181088480,2007,157,00:08:00,3045.9, 1.650,3.12996,1.3685, 0.00,,4.4966,35.163575,-123.007788,3002.1,34.450, 1.427, 2.39, 91.3,0.364,1506.7,27.558,27.574
001181088495,2007,157,00:08:15,3039.4, 1.652,3.12976,1.3681, 0.00,,4.4971,35.163601,-123.007769,2995.8,34.449, 1.430, 2.39, 91.3,0.364,1506.6,27.557,27.573
001181088510,2007,157,00:08:30,3032.6, 1.653,3.12964,1.3677, 0.00,,4.4969,35.163605,-123.007775,2989.1,34.450, 1.431, 2.38, 91.3,0.364,1506.5,27.557,27.574
001181088525,2007,157,00:08:45,3025.4, 1.655,3.12944,1.3673, 0.00,,4.4969,35.163605,-123.007782,2982.1,34.449, 1.433, 2.38, 91.3,0.364,1506.4,27.557,27.573
001181088540,2007,157,00:09:00,3018.6, 1.656,3.12929,1.3669, 0.00,,4.4959,35.163605,-123.007843,2975.4,34.449, 1.435, 2.38, 91.3,0.365,1506.2,27.557,27.573
001181088555,2007,157,00:09:15,3011.7, 1.656,3.12911,1.3671, 0.00,,4.4967,35.163605,-123.007859,2968.6,34.449, 1.436, 2.37, 91.3,0.364,1506.1,27.557,27.573
001181088570,2007,157,00:09:30,3004.5, 1.658,3.12907,1.3673, 0.00,,4.4964,35.163605,-123.007846,2961.6,34.450, 1.438, 2.37, 91.3,0.364,1506.0,27.558,27.574
001181088585,2007,157,00:09:45,2998.2, 1.659,3.12894,1.3675, 0.00,,4.4962,35.163606,-123.007840,2955.5,34.451, 1.440, 2.37, 91.3,0.364,1505.9,27.558,27.574
001181088600,2007,157,00:10:00,2990.9, 1.661,3.12881,1.3674, 0.00,,4.4963,35.163605,-123.007839,2948.4,34.451, 1.442, 2.37, 91.3,0.364,1505.8,27.557,27.573
001181088615,2007,157,00:10:15,2984.5, 1.661,3.12870,1.3671, 0.00,,4.4964,35.163605,-123.007850,2942.1,34.451, 1.444, 2.37, 91.3,0.364,1505.7,27.558,27.574
