usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001190592000,2007,267,00:00:00,3277.3, 1.605,3.13721,0.9804, 0.00,,4.3453,35.160309,-123.015642,3228.5,34.483, 1.360, 2.58, 88.2,0.503,1510.5,27.587,27.605
001190592015,2007,267,00:00:15,3271.2, 1.608,3.13714,0.9808, 0.00,,4.3447,35.160335,-123.015647,3222.6,34.482, 1.363, 2.58, 88.2,0.503,1510.4,27.587,27.604
001190592030,2007,267,00:00:30,3263.8, 1.610,3.13716,0.9821, 0.00,,4.3441,35.160339,-123.015591,3215.3,34.483, 1.366, 2.58, 88.2,0.504,1510.3,27.588,27.605
001190592045,2007,267,00:00:45,3256.1, 1.612,3.13705,0.9827, 0.00,,4.3438,35.160343,-123.015591,3207.8,34.484, 1.368, 2.58, 88.2,0.504,1510.2,27.588,27.605
001190592060,2007,267,00:01:00,3249.2, 1.612,3.13685,0.9828, 0.00,,4.3440,35.160370,-123.015569,3201.1,34.483, 1.370, 2.58, 88.2,0.504,1510.0,27.587,27.605
001190592075,2007,267,00:01:15,3242.4, 1.613,3.13667,0.9828, 0.00,,4.3440,35.160398,-123.015538,3194.4,34.484, 1.371, 2.58, 88.2,0.504,1509.9,27.588,27.605
001190592090,2007,267,00:01:30,3235.1, 1.613,3.13644,0.9832, 0.00,,4.3439,35.160424,-123.015467,3187.2,34.484, 1.372, 2.58, 88.2,0.504,1509.8,27.588,27.605
001190592105,2007,267,00:01:45,3227.5, 1.615,3.13627,0.9835, 0.00,,4.3437,35.160433,-123.015462,3179.9,34.484, 1.374, 2.57, 88.2,0.504,1509.7,27.588,27.605
001190592120,2007,267,00:02:00,3220.1, 1.617,3.13617,0.9834, 0.00,,4.3436,35.160462,-123.015461,3172.6,34.483, 1.377, 2.57, 88.2,0.504,1509.6,27.587,27.604
001190592135,2007,267,00:02:15,3212.7, 1.618,3.13599,0.9829, 0.00,,4.3435,35.160475,-123.015439,3165.3,34.484, 1.379, 2.57, 88.1,0.505,1509.4,27.587,27.604
001190592150,2007,267,00:02:30,3205.3, 1.619,3.13580,0.9825, 0.00,,4.3432,35.160493,-123.015415,3158.1,34.484, 1.380, 2.56, 88.1,0.505,1509.3,27.587,27.604
