usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001181347200,2007,160,00:00:00,3339.2, 1.593,3.13636,1.3463, 0.00,,4.4938,35.173800,-123.011986,3289.1,34.458, 1.342, 2.41, 91.2,0.367,1511.5,27.569,27.587
001181347215,2007,160,00:00:15,3333.8, 1.593,3.13617,1.3456, 0.00,,4.4937,35.173798,-123.011999,3283.7,34.458, 1.342, 2.41, 91.2,0.367,1511.4,27.569,27.587
001181347230,2007,160,00:00:30,3326.5, 1.593,3.13597,1.3457, 0.00,,4.4943,35.173811,-123.011980,3276.7,34.459, 1.343, 2.41, 91.3,0.366,1511.3,27.569,27.587
001181347245,2007,160,00:00:45,3319.3, 1.594,3.13573,1.3443, 0.00,,4.4945,35.173890,-123.011922,3269.5,34.458, 1.345, 2.40, 91.3,0.366,1511.1,27.568,27.586
001181347260,2007,160,00:01:00,3312.0, 1.595,3.13555,1.3459, 0.00,,4.4945,35.173889,-123.011945,3262.4,34.458, 1.347, 2.40, 91.3,0.366,1511.0,27.568,27.586
001181347275,2007,160,00:01:15,3304.7, 1.596,3.13535,1.3455, 0.00,,4.4947,35.173889,-123.011942,3255.3,34.458, 1.348, 2.40, 91.3,0.366,1510.9,27.568,27.586
001181347290,2007,160,00:01:30,3297.5, 1.598,3.13520,1.3441, 0.00,,4.4947,35.173890,-123.011933,3248.3,34.457, 1.351, 2.39, 91.3,0.366,1510.8,27.567,27.585
001181347305,2007,160,00:01:45,3290.6, 1.600,3.13507,1.3435, 0.00,,4.4948,35.173919,-123.011895,3241.6,34.456, 1.354, 2.39, 91.3,0.366,1510.7,27.566,27.584
001181347320,2007,160,00:02:00,3283.7, 1.603,3.13497,1.3437, 0.00,,4.4948,35.173978,-123.011899,3234.8,34.455, 1.357, 2.39, 91.3,0.366,1510.6,27.566,27.583
001181347335,2007,160,00:02:15,3276.6, 1.604,3.13491,1.3435, 0.00,,4.4949,35.173987,-123.011904,3227.8,34.457, 1.359, 2.38, 91.3,0.366,1510.4,27.567,27.584
001181347350,2007,160,00:02:30,3269.5, 1.605,3.13468,1.3431, 0.00,,4.4946,35.173986,-123.011915,3220.9,34.456, 1.360, 2.38, 91.3,0.366,1510.3,27.566,27.584
001181347365,2007,160,00:02:45,3262.8, 1.607,3.13469,1.3429, 0.00,,4.4943,35.173995,-123.011917,3214.3,34.457, 1.363, 2.38, 91.3,0.366,1510.2,27.567,27.584
001181347380,2007,160,00:03:00,3255.9, 1.607,3.13452,1.3421, 0.00,,4.4949,35.174012,-123.011942,3207.6,34.457, 1.364, 2.37, 91.3,0.366,1510.1,27.567,27.584
001181347395,2007,160,00:03:15,3249.0, 1.607,3.13431,1.3421, 0.00,,4.4959,35.174011,-123.011936,3200.9,34.458, 1.365, 2.37, 91.3,0.365,1510.0,27.567,27.585
001181347410,2007,160,00:03:30,3242.4, 1.606,3.13402,1.3404, 0.00,,4.4973,35.174014,-123.011928,3194.4,34.459, 1.364, 2.36, 91.3,0.363,1509.9,27.568,27.585
001181347425,2007,160,00:03:45,3235.6, 1.607,3.13370,1.3390, 0.00,,4.4971,35.174428,-123.012597,3187.8,34.456, 1.366, 2.36, 91.3,0.364,1509.8,27.566,27.584
001181347440,2007,160,00:04:00,3228.7, 1.609,3.13352,1.3394, 0.00,,4.4971,35.174567,-123.012944,3181.0,34.456, 1.368, 2.35, 91.3,0.364,1509.6,27.565,27.583
001181347455,2007,160,00:04:15,3221.8, 1.610,3.13336,1.3376, 0.00,,4.4968,35.174160,-123.012139,3174.3,34.455, 1.371, 2.35, 91.3,0.364,1509.5,27.565,27.582
001181347470,2007,160,00:04:30,3214.9, 1.612,3.13326,1.3382, 0.00,,4.4970,35.174133,-123.011875,3167.5,34.455, 1.373, 2.35, 91.3,0.364,1509.4,27.565,27.582
001181347485,2007,160,00:04:45,3207.9, 1.614,3.13312,1.3397, 0.00,,4.4969,35.174133,-123.011884,3160.6,34.455, 1.375, 2.35, 91.3,0.364,1509.3,27.565,27.582
001181347500,2007,160,00:05:00,3200.8, 1.615,3.13296,1.3402, 0.00,,4.4968,35.174133,-123.011770,3153.7,34.455, 1.377, 2.35, 91.3,0.364,1509.2,27.564,27.581
001181347515,2007,160,00:05:15,3193.7, 1.615,3.13275,1.3409, 0.00,,4.4978,35.173850,-123.011980,3146.8,34.455, 1.378, 2.35, 91.3,0.363,1509.1,27.565,27.582
001181347530,2007,160,00:05:30,3186.9, 1.615,3.13252,1.3380, 0.00,,4.4981,35.173737,-123.012064,3140.1,34.456, 1.379, 2.34, 91.3,0.363,1509.0,27.565,27.582
001181347545,2007,160,00:05:45,3179.9, 1.616,3.13231,1.3357, 0.00,,4.4984,35.173737,-123.012064,3133.3,34.455, 1.381, 2.33, 91.3,0.362,1508.8,27.564,27.581
001181347560,2007,160,00:06:00,3172.9, 1.618,3.13215,1.3361, 0.00,,4.4984,35.173738,-123.012061,3126.4,34.454, 1.383, 2.32, 91.3,0.362,1508.7,27.564,27.581
001181347575,2007,160,00:06:15,3165.9, 1.618,3.13197,1.3352, 0.00,,4.4985,35.173735,-123.012071,3119.5,34.455, 1.384, 2.32, 91.3,0.362,1508.6,27.564,27.581
001181347590,2007,160,00:06:30,3158.7, 1.620,3.13171,1.3345, 0.00,,4.4984,35.173706,-123.012128,3112.6,34.453, 1.386, 2.32, 91.3,0.362,1508.5,27.562,27.579
001181347605,2007,160,00:06:45,3151.8, 1.621,3.13155,1.3343, 0.00,,4.4984,35.173706,-123.012128,3105.7,34.454, 1.388, 2.31, 91.3,0.362,1508.4,27.563,27.580
001181347620,2007,160,00:07:00,3144.8, 1.621,3.13138,1.3339, 0.00,,4.4986,35.173804,-123.012064,3099.0,34.454, 1.389, 2.31, 91.3,0.362,1508.3,27.563,27.580
001181347635,2007,160,00:07:15,3137.5, 1.622,3.13119,1.3318, 0.00,,4.4985,35.174195,-123.011825,3091.8,34.454, 1.391, 2.30, 91.3,0.362,1508.1,27.563,27.580
001181347650,2007,160,00:07:30,3130.1, 1.623,3.13096,1.3314, 0.00,,4.4984,35.174194,-123.011823,3084.6,34.453, 1.392, 2.30, 91.3,0.362,1508.0,27.562,27.579
001181347665,2007,160,00:07:45,3122.8, 1.624,3.13074,1.3324, 0.00,,4.4984,35.174150,-123.011818,3077.4,34.453, 1.394, 2.30, 91.3,0.362,1507.9,27.562,27.579
001181347680,2007,160,00:08:00,3115.2, 1.625,3.13060,1.3317, 0.00,,4.4984,35.174134,-123.011820,3070.0,34.453, 1.396, 2.29, 91.3,0.362,1507.8,27.562,27.579
001181347695,2007,160,00:08:15,3107.8, 1.628,3.13049,1.3311, 0.00,,4.4982,35.174122,-123.011805,3062.7,34.453, 1.399, 2.29, 91.3,0.363,1507.7,27.562,27.578
001181347710,2007,160,00:08:30,3100.6, 1.629,3.13030,1.3300, 0.00,,4.4983,35.174073,-123.011749,3055.7,34.452, 1.401, 2.28, 91.3,0.362,1507.5,27.561,27.577
001181347725,2007,160,00:08:45,3093.5, 1.631,3.13017,1.3290, 0.00,,4.4982,35.174073,-123.011756,3048.7,34.452, 1.404, 2.28, 91.3,0.363,1507.4,27.561,27.577
001181347740,2007,160,00:09:00,3086.0, 1.634,3.13008,1.3307, 0.00,,4.4979,35.174073,-123.011747,3041.4,34.451, 1.407, 2.28, 91.3,0.363,1507.3,27.560,27.577
001181347755,2007,160,00:09:15,3078.8, 1.637,3.13007,1.3317, 0.00,,4.4978,35.174120,-123.011799,3034.4,34.451, 1.410, 2.28, 91.3,0.363,1507.2,27.560,27.576
001181347770,2007,160,00:09:30,3071.6, 1.640,3.12994,1.3318, 0.00,,4.4981,35.174166,-123.011920,3027.3,34.450, 1.414, 2.28, 91.3,0.363,1507.1,27.558,27.575
001181347785,2007,160,00:09:45,3064.2, 1.641,3.12993,1.3317, 0.00,,4.4979,35.174099,-123.011729,3020.1,34.451, 1.416, 2.28, 91.3,0.363,1507.0,27.560,27.576
001181347800,2007,160,00:10:00,3056.7, 1.641,3.12974,1.3310, 0.00,,4.4982,35.174092,-123.011746,3012.8,34.452, 1.417, 2.27, 91.3,0.363,1506.8,27.560,27.577
001181347815,2007,160,00:10:15,3049.6, 1.644,3.12964,1.3304, 0.00,,4.4979,35.174286,-123.011696,3005.8,34.452, 1.420, 2.27, 91.3,0.363,1506.7,27.560,27.576
001181347830,2007,160,00:10:30,3042.4, 1.644,3.12936,1.3298, 0.00,,4.4980,35.174145,-123.011832,2998.7,34.451, 1.421, 2.26, 91.3,0.363,1506.6,27.559,27.575
001181347845,2007,160,00:10:45,3034.7, 1.646,3.12931,1.3304, 0.00,,4.4981,35.174136,-123.011849,2991.2,34.452, 1.424, 2.26, 91.3,0.363,1506.5,27.560,27.576
001181347860,2007,160,00:11:00,3027.2, 1.648,3.12914,1.3298, 0.00,,4.4977,35.174133,-123.011737,2983.8,34.452, 1.426, 2.26, 91.3,0.363,1506.4,27.559,27.575
001181347875,2007,160,00:11:15,3019.7, 1.651,3.12909,1.3301, 0.00,,4.4974,35.174082,-123.011749,2976.6,34.451, 1.430, 2.26, 91.3,0.363,1506.2,27.559,27.575
001181347890,2007,160,00:11:30,3012.3, 1.654,3.12903,1.3308, 0.00,,4.4958,35.174134,-123.011782,2969.2,34.451, 1.434, 2.26, 91.3,0.365,1506.1,27.558,27.574
001181347905,2007,160,00:11:45,3005.6, 1.655,3.12893,1.3306, 0.00,,4.4961,35.174073,-123.011762,2962.7,34.452, 1.435, 2.25, 91.3,0.365,1506.0,27.559,27.575
001181347920,2007,160,00:12:00,2999.5, 1.657,3.12881,1.3318, 0.00,,4.4957,35.174073,-123.011755,2956.7,34.451, 1.438, 2.25, 91.3,0.365,1505.9,27.558,27.574
001181347935,2007,160,00:12:15,2992.0, 1.659,3.12876,1.3332, 0.00,,4.4953,35.174023,-123.011753,2949.4,34.451, 1.441, 2.26, 91.3,0.365,1505.8,27.558,27.574
001181347950,2007,160,00:12:30,2984.2, 1.662,3.12875,1.3332, 0.00,,4.4952,35.174103,-123.011760,2941.7,34.452, 1.444, 2.25, 91.3,0.365,1505.7,27.559,27.574
