usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001181256585,2007,158,22:49:45,   3.2,13.220,3.85424,4.1168, 0.00,,3.8016,36.239227,-122.919779,   3.1,32.511,13.220, 6.02, 77.0,1.046,1498.0,24.423,24.423
001181256600,2007,158,22:50:00,   7.0,13.216,3.86108,4.1224, 0.00,,4.0733,36.239227,-122.919773,   6.9,32.577,13.215, 6.04, 82.6,0.765,1498.2,24.475,24.475
001181256615,2007,158,22:50:15,  11.1,13.201,3.86629,4.1216, 0.00,,4.1062,36.239227,-122.919778,  11.0,32.638,13.199, 6.04, 83.3,0.732,1498.2,24.525,24.525
001181256630,2007,158,22:50:30,  12.9,13.213,3.86863,4.1173, 0.00,,4.1055,36.239227,-122.919776,  12.8,32.649,13.211, 6.03, 83.3,0.733,1498.3,24.531,24.531
001181256645,2007,158,22:50:45,  14.9,13.210,3.86867,4.1208, 0.00,,4.1054,36.239227,-122.919779,  14.8,32.651,13.208, 6.04, 83.3,0.733,1498.3,24.533,24.533
001181256660,2007,158,22:51:00,  18.0,13.172,3.86603,4.1157, 0.00,,4.1004,35.307973,-122.993109,  17.8,32.658,13.170, 6.04, 83.1,0.738,1498.3,24.545,24.546
001181256675,2007,158,22:51:15,  17.7,13.187,3.86732,4.1168, 0.00,,4.1013,35.164703,-123.004313,  17.5,32.657,13.185, 6.04, 83.2,0.737,1498.3,24.542,24.543
001181256690,2007,158,22:51:30,  21.3,13.170,3.86649,4.1143, 0.00,,4.1007,35.164703,-123.004313,  21.1,32.662,13.167, 6.04, 83.2,0.738,1498.3,24.550,24.550
001181256705,2007,158,22:51:45,  21.6,13.159,3.86576,4.1158, 0.00,,4.0991,35.164703,-123.004316,  21.4,32.665,13.157, 6.04, 83.1,0.740,1498.3,24.553,24.554
001181256720,2007,158,22:52:00,  25.7,13.152,3.86510,4.1152, 0.00,,4.0991,35.164703,-123.004316,  25.5,32.663,13.149, 6.04, 83.1,0.740,1498.3,24.554,24.554
001181256735,2007,158,22:52:15,  28.6,13.110,3.86203,4.1107, 0.00,,4.0960,35.164703,-123.004316,  28.4,32.669,13.106, 6.04, 83.1,0.743,1498.3,24.567,24.568
001181256750,2007,158,22:52:30,  31.2,13.059,3.85745,4.1044, 0.00,,4.1232,35.164704,-123.004306,  30.9,32.668,13.055, 6.04, 83.6,0.716,1498.1,24.576,24.577
001181256765,2007,158,22:52:45,  34.2,12.721,3.82479,4.0599, 0.00,,4.2150,35.167799,-123.004891,  34.0,32.650,12.717, 6.00, 85.5,0.626,1497.0,24.628,24.628
001181256780,2007,158,22:53:00,  34.9,12.435,3.79977,3.9987, 0.00,,4.2626,35.168268,-123.004984,  34.6,32.659,12.430, 5.93, 86.5,0.581,1496.1,24.690,24.691
001181256795,2007,158,22:53:15,  37.5,12.384,3.79515,3.9884, 0.00,,4.2791,35.168245,-123.004975,  37.2,32.658,12.379, 5.92, 86.8,0.565,1495.9,24.699,24.700
001181256810,2007,158,22:53:30,  40.5,12.302,3.78850,3.9710, 0.00,,4.3023,35.168488,-123.004206,  40.2,32.665,12.296, 5.90, 87.3,0.543,1495.7,24.720,24.721
001181256825,2007,158,22:53:45,  41.6,12.301,3.78640,3.9593, 0.00,,4.2996,35.168550,-123.004004,  41.3,32.645,12.296, 5.88, 87.2,0.546,1495.7,24.704,24.705
001181256840,2007,158,22:54:00,  40.6,12.265,3.78159,3.9476, 0.00,,4.3084,35.169101,-123.002636,  40.3,32.630,12.260, 5.86, 87.4,0.537,1495.6,24.700,24.701
001181256855,2007,158,22:54:15,  43.0,11.951,3.75137,3.8583, 0.00,,4.3757,35.169557,-123.001499,  42.7,32.612,11.946, 5.74, 88.8,0.475,1494.5,24.745,24.746
001181256870,2007,158,22:54:30,  46.3,11.708,3.73093,3.8388, 0.00,,4.4130,35.169557,-123.001490,  46.0,32.625,11.703, 5.74, 89.6,0.440,1493.7,24.800,24.801
001181256885,2007,158,22:54:45,  45.7,11.719,3.73189,3.8394, 0.00,,4.4082,35.169556,-123.001505,  45.4,32.625,11.714, 5.73, 89.5,0.445,1493.8,24.798,24.799
001181256900,2007,158,22:55:00,  46.1,11.741,3.73363,3.8464, 0.00,,4.4074,35.169558,-123.001496,  45.8,32.623,11.735, 5.75, 89.5,0.445,1493.8,24.792,24.793
001181256915,2007,158,22:55:15,  47.9,11.684,3.72869,3.8367, 0.00,,4.4172,35.169701,-123.009881,  47.5,32.624,11.678, 5.74, 89.7,0.436,1493.7,24.803,24.804
001181256930,2007,158,22:55:30,  51.9,11.458,3.71188,3.8153, 0.00,,4.4366,35.169676,-123.011265,  51.5,32.658,11.451, 5.72, 90.1,0.419,1493.0,24.871,24.872
001181256945,2007,158,22:55:45,  57.3,11.213,3.69441,3.6987, 0.00,,4.4571,35.169648,-123.011263,  56.8,32.700,11.206, 5.54, 90.5,0.400,1492.3,24.948,24.949
001181256960,2007,158,22:56:00,  63.1,11.037,3.68569,3.6154, 0.00,,4.4621,35.169602,-123.011258,  62.6,32.769,11.029, 5.41, 90.6,0.395,1491.8,25.032,25.034
001181256975,2007,158,22:56:15,  69.9,11.005,3.69372,3.5475, 0.00,,4.4621,35.169000,-123.007840,  69.4,32.874,10.996, 5.29, 90.6,0.395,1492.0,25.120,25.121
001181256990,2007,158,22:56:30,  77.7,11.317,3.74211,3.5747, 0.00,,4.4501,35.168195,-123.004877,  77.1,33.069,11.308, 5.31, 90.3,0.406,1493.4,25.216,25.217
001181257005,2007,158,22:56:45,  84.2,11.012,3.72336,3.4418, 0.00,,4.4603,35.168153,-123.004837,  83.6,33.155,11.001, 5.10, 90.6,0.397,1492.6,25.338,25.339
