usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001190246400,2007,263,00:00:00,3286.7, 1.610,3.13804,0.9805, 0.00,,4.3349,35.164188,-123.015659,3237.7,34.484, 1.364, 2.58, 88.0,0.513,1510.7,27.588,27.606
001190246415,2007,263,00:00:15,3281.9, 1.611,3.13798,0.9802, 0.00,,4.3396,35.164186,-123.015654,3233.0,34.484, 1.365, 2.58, 88.1,0.508,1510.6,27.588,27.606
001190246430,2007,263,00:00:30,3276.2, 1.612,3.13787,0.9803, 0.00,,4.3410,35.164186,-123.015658,3227.5,34.484, 1.367, 2.57, 88.1,0.507,1510.5,27.588,27.606
001190246445,2007,263,00:00:45,3270.0, 1.613,3.13769,0.9801, 0.00,,4.3409,35.164186,-123.015665,3221.4,34.484, 1.368, 2.57, 88.1,0.507,1510.4,27.588,27.605
001190246460,2007,263,00:01:00,3263.3, 1.615,3.13756,0.9798, 0.00,,4.3344,35.164186,-123.015659,3214.8,34.483, 1.371, 2.57, 88.0,0.513,1510.3,27.587,27.605
001190246475,2007,263,00:01:15,3256.7, 1.617,3.13747,0.9800, 0.00,,4.3394,35.164185,-123.015659,3208.3,34.483, 1.374, 2.57, 88.1,0.508,1510.2,27.586,27.604
001190246490,2007,263,00:01:30,3250.1, 1.619,3.13738,0.9798, 0.00,,4.3410,35.164186,-123.015660,3202.0,34.483, 1.376, 2.56, 88.1,0.507,1510.1,27.587,27.604
001190246505,2007,263,00:01:45,3243.4, 1.619,3.13720,0.9799, 0.00,,4.3381,35.164186,-123.015662,3195.4,34.483, 1.377, 2.56, 88.0,0.510,1510.0,27.587,27.604
001190246520,2007,263,00:02:00,3236.6, 1.622,3.13709,0.9798, 0.00,,4.3383,35.164185,-123.015671,3188.7,34.482, 1.380, 2.56, 88.0,0.509,1509.9,27.586,27.603
001190246535,2007,263,00:02:15,3230.4, 1.622,3.13698,0.9798, 0.00,,4.3422,35.164185,-123.015671,3182.7,34.484, 1.381, 2.56, 88.1,0.506,1509.8,27.587,27.604
001190246550,2007,263,00:02:30,3224.3, 1.621,3.13673,0.9799, 0.00,,4.3417,35.164185,-123.015671,3176.6,34.484, 1.381, 2.55, 88.1,0.506,1509.7,27.587,27.605
001190246565,2007,263,00:02:45,3217.8, 1.621,3.13640,0.9803, 0.00,,4.3429,35.164185,-123.015665,3170.3,34.483, 1.381, 2.55, 88.1,0.505,1509.5,27.587,27.604
001190246580,2007,263,00:03:00,3211.0, 1.623,3.13628,0.9805, 0.00,,4.3388,35.164185,-123.015668,3163.7,34.483, 1.383, 2.55, 88.1,0.509,1509.4,27.586,27.604
001190246595,2007,263,00:03:15,3204.5, 1.626,3.13628,0.9802, 0.00,,4.3369,35.164185,-123.015668,3157.4,34.483, 1.387, 2.55, 88.0,0.511,1509.3,27.586,27.603
001190246610,2007,263,00:03:30,3198.4, 1.627,3.13619,0.9799, 0.00,,4.3383,35.164185,-123.015665,3151.4,34.483, 1.389, 2.54, 88.0,0.509,1509.2,27.586,27.603
001190246625,2007,263,00:03:45,3191.9, 1.628,3.13605,0.9797, 0.00,,4.3374,35.164185,-123.015668,3145.0,34.483, 1.391, 2.54, 88.0,0.510,1509.1,27.586,27.603
001190246640,2007,263,00:04:00,3185.4, 1.629,3.13587,0.9795, 0.00,,4.3381,35.164185,-123.015664,3138.7,34.482, 1.393, 2.54, 88.0,0.510,1509.0,27.585,27.602
001190246655,2007,263,00:04:15,3179.0, 1.630,3.13576,0.9791, 0.00,,4.3426,35.164185,-123.015668,3132.4,34.483, 1.394, 2.53, 88.1,0.505,1508.9,27.585,27.603
001190246670,2007,263,00:04:30,3173.0, 1.631,3.13560,0.9783, 0.00,,4.3389,35.164185,-123.015668,3126.5,34.483, 1.396, 2.53, 88.1,0.509,1508.8,27.585,27.603
001190246685,2007,263,00:04:45,3166.4, 1.631,3.13535,0.9781, 0.00,,4.3414,35.164185,-123.015659,3120.0,34.482, 1.397, 2.52, 88.1,0.506,1508.7,27.585,27.602
001190246700,2007,263,00:05:00,3159.5, 1.633,3.13516,0.9781, 0.00,,4.3378,35.164185,-123.015665,3113.3,34.482, 1.398, 2.52, 88.0,0.510,1508.6,27.585,27.602
001190246715,2007,263,00:05:15,3152.9, 1.636,3.13516,0.9779, 0.00,,4.3402,35.164185,-123.015662,3106.9,34.481, 1.402, 2.52, 88.1,0.508,1508.5,27.584,27.601
001190246730,2007,263,00:05:30,3146.2, 1.636,3.13497,0.9781, 0.00,,4.3379,35.164185,-123.015664,3100.3,34.482, 1.403, 2.52, 88.0,0.510,1508.4,27.584,27.601
001190246745,2007,263,00:05:45,3139.5, 1.638,3.13486,0.9781, 0.00,,4.3383,35.164185,-123.015668,3093.8,34.482, 1.405, 2.51, 88.0,0.509,1508.3,27.584,27.601
001190246760,2007,263,00:06:00,3133.0, 1.639,3.13474,0.9776, 0.00,,4.3414,35.164185,-123.015668,3087.4,34.481, 1.408, 2.51, 88.1,0.507,1508.2,27.584,27.601
001190246775,2007,263,00:06:15,3126.6, 1.641,3.13459,0.9774, 0.00,,4.3381,35.164185,-123.015662,3081.1,34.481, 1.410, 2.51, 88.0,0.510,1508.1,27.583,27.600
001190246790,2007,263,00:06:30,3120.1, 1.643,3.13449,0.9771, 0.00,,4.3381,35.164186,-123.015668,3074.7,34.481, 1.412, 2.50, 88.0,0.510,1508.0,27.583,27.600
001190246805,2007,263,00:06:45,3113.4, 1.643,3.13436,0.9768, 0.00,,4.3394,35.164185,-123.015671,3068.2,34.481, 1.413, 2.50, 88.1,0.508,1507.9,27.583,27.600
001190246820,2007,263,00:07:00,3106.6, 1.644,3.13417,0.9767, 0.00,,4.3319,35.164185,-123.015671,3061.6,34.481, 1.415, 2.50, 87.9,0.515,1507.7,27.583,27.600
001190246835,2007,263,00:07:15,3100.1, 1.646,3.13403,0.9767, 0.00,,4.3352,35.164185,-123.015671,3055.2,34.481, 1.417, 2.49, 88.0,0.512,1507.6,27.583,27.599
001190246850,2007,263,00:07:30,3093.8, 1.646,3.13383,0.9769, 0.00,,4.3276,35.164185,-123.015659,3049.0,34.480, 1.418, 2.49, 87.8,0.519,1507.5,27.582,27.599
001190246865,2007,263,00:07:45,3087.0, 1.647,3.13365,0.9771, 0.00,,4.3332,35.164186,-123.015662,3042.4,34.481, 1.419, 2.49, 87.9,0.514,1507.4,27.583,27.599
001190246880,2007,263,00:08:00,3080.3, 1.647,3.13331,0.9769, 0.00,,4.3394,35.164185,-123.015668,3035.8,34.479, 1.420, 2.49, 88.1,0.508,1507.3,27.581,27.598
001190246895,2007,263,00:08:15,3073.8, 1.649,3.13331,0.9769, 0.00,,4.3404,35.164185,-123.015671,3029.5,34.481, 1.423, 2.49, 88.1,0.507,1507.2,27.582,27.599
001190246910,2007,263,00:08:30,3067.3, 1.650,3.13320,0.9772, 0.00,,4.3403,35.164185,-123.015668,3023.1,34.481, 1.424, 2.48, 88.1,0.508,1507.1,27.583,27.599
001190246925,2007,263,00:08:45,3060.5, 1.651,3.13297,0.9773, 0.00,,4.3411,35.164185,-123.015665,3016.5,34.480, 1.426, 2.48, 88.1,0.507,1507.0,27.582,27.598
001190246940,2007,263,00:09:00,3054.0, 1.652,3.13289,0.9774, 0.00,,4.3411,35.164186,-123.015648,3010.0,34.481, 1.428, 2.48, 88.1,0.507,1506.9,27.583,27.599
001190246955,2007,263,00:09:15,3047.5, 1.653,3.13266,0.9774, 0.00,,4.3386,35.164185,-123.015659,3003.8,34.480, 1.429, 2.48, 88.0,0.509,1506.8,27.582,27.598
001190246970,2007,263,00:09:30,3040.9, 1.655,3.13249,0.9775, 0.00,,4.3378,35.164186,-123.015659,2997.3,34.479, 1.431, 2.48, 88.0,0.510,1506.7,27.581,27.597
001190246985,2007,263,00:09:45,3034.3, 1.656,3.13233,0.9774, 0.00,,4.3374,35.164186,-123.015653,2990.8,34.479, 1.433, 2.47, 88.0,0.510,1506.6,27.581,27.597
001190247000,2007,263,00:10:00,3027.7, 1.657,3.13227,0.9770, 0.00,,4.3398,35.164185,-123.015662,2984.4,34.480, 1.435, 2.47, 88.1,0.508,1506.5,27.581,27.597
001190247015,2007,263,00:10:15,3021.2, 1.658,3.13206,0.9768, 0.00,,4.3319,35.164186,-123.015650,2978.0,34.479, 1.437, 2.47, 87.9,0.515,1506.3,27.581,27.597
001190247030,2007,263,00:10:30,3014.9, 1.659,3.13187,0.9769, 0.00,,4.3386,35.164190,-123.015635,2971.8,34.479, 1.438, 2.47, 88.0,0.509,1506.2,27.581,27.597
001190247045,2007,263,00:10:45,3008.4, 1.659,3.13169,0.9766, 0.00,,4.3369,35.164185,-123.015665,2965.4,34.480, 1.439, 2.46, 88.0,0.511,1506.1,27.581,27.597
001190247060,2007,263,00:11:00,3001.9, 1.660,3.13154,0.9764, 0.00,,4.3322,35.164185,-123.015671,2959.1,34.479, 1.441, 2.46, 87.9,0.515,1506.0,27.581,27.597
001190247075,2007,263,00:11:15,2995.4, 1.661,3.13127,0.9764, 0.00,,4.3367,35.164185,-123.015662,2952.7,34.479, 1.442, 2.46, 88.0,0.511,1505.9,27.580,27.596
001190247090,2007,263,00:11:30,2988.9, 1.661,3.13110,0.9766, 0.00,,4.3383,35.164186,-123.015659,2946.4,34.479, 1.443, 2.46, 88.0,0.509,1505.8,27.580,27.596
001190247105,2007,263,00:11:45,2982.3, 1.662,3.13097,0.9765, 0.00,,4.3398,35.164186,-123.015656,2939.9,34.479, 1.445, 2.45, 88.1,0.508,1505.7,27.580,27.596
001190247120,2007,263,00:12:00,2975.6, 1.664,3.13081,0.9764, 0.00,,4.3400,35.164185,-123.015665,2933.3,34.479, 1.447, 2.45, 88.1,0.508,1505.6,27.580,27.596
001190247135,2007,263,00:12:15,2969.1, 1.665,3.13065,0.9757, 0.00,,4.3392,35.164185,-123.015658,2927.0,34.479, 1.448, 2.44, 88.1,0.509,1505.5,27.580,27.596
001190247150,2007,263,00:12:30,2962.7, 1.667,3.13047,0.9745, 0.00,,4.3377,35.164185,-123.015659,2920.7,34.477, 1.451, 2.44, 88.0,0.510,1505.4,27.579,27.594
001190247165,2007,263,00:12:45,2956.2, 1.669,3.13038,0.9736, 0.00,,4.3358,35.164186,-123.015668,2914.3,34.477, 1.454, 2.43, 88.0,0.512,1505.3,27.578,27.594
001190247180,2007,263,00:13:00,2949.8, 1.671,3.13033,0.9734, 0.00,,4.3378,35.164186,-123.015656,2908.1,34.477, 1.456, 2.43, 88.0,0.510,1505.2,27.578,27.594
001190247195,2007,263,00:13:15,2943.3, 1.674,3.13029,0.9729, 0.00,,4.3356,35.164186,-123.015659,2901.7,34.476, 1.460, 2.42, 88.0,0.512,1505.1,27.577,27.593
001190247210,2007,263,00:13:30,2936.9, 1.678,3.13026,0.9731, 0.00,,4.3395,35.164186,-123.015665,2895.4,34.475, 1.464, 2.42, 88.1,0.508,1505.0,27.576,27.591
001190247225,2007,263,00:13:45,2930.4, 1.681,3.13033,0.9732, 0.00,,4.3404,35.164186,-123.015653,2889.1,34.476, 1.468, 2.42, 88.1,0.507,1504.9,27.576,27.592
001190247240,2007,263,00:14:00,2924.1, 1.683,3.13035,0.9731, 0.00,,4.3331,35.164186,-123.015664,2883.0,34.476, 1.471, 2.41, 87.9,0.514,1504.8,27.576,27.592
001190247255,2007,263,00:14:15,2917.8, 1.685,3.13027,0.9731, 0.00,,4.3360,35.164186,-123.015665,2876.7,34.476, 1.473, 2.41, 88.0,0.512,1504.7,27.576,27.592
001190247270,2007,263,00:14:30,2911.1, 1.685,3.13011,0.9733, 0.00,,4.3395,35.164186,-123.015668,2870.2,34.477, 1.474, 2.41, 88.1,0.508,1504.6,27.577,27.593
