usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001170460800,2007,034,00:00:00,4018.1, 1.506,3.15429,1.2776, 0.00,,4.2138,35.166039,-123.017525,3951.7,34.476, 1.186, 2.82, 80.7,0.860,1522.8,27.589,27.612
001170460815,2007,034,00:00:15,4018.0, 1.506,3.15437,1.2775, 0.00,,4.2135,35.166023,-123.017528,3951.7,34.477, 1.186, 2.82, 80.6,0.860,1522.8,27.590,27.612
001170460830,2007,034,00:00:30,4017.9, 1.506,3.15436,1.2773, 0.00,,4.2138,35.166029,-123.017544,3951.6,34.477, 1.186, 2.82, 80.7,0.860,1522.8,27.590,27.612
001170460845,2007,034,00:00:45,4017.9, 1.506,3.15435,1.2774, 0.00,,4.2135,35.166034,-123.017561,3951.5,34.477, 1.186, 2.82, 80.7,0.860,1522.8,27.590,27.612
001170460860,2007,034,00:01:00,4017.9, 1.506,3.15431,1.2775, 0.00,,4.2134,35.166036,-123.017578,3951.5,34.476, 1.186, 2.82, 80.6,0.860,1522.8,27.589,27.612
001170460875,2007,034,00:01:15,4018.0, 1.511,3.15440,1.2772, 0.00,,4.2137,35.166040,-123.017598,3951.6,34.473, 1.191, 2.82, 80.7,0.860,1522.8,27.586,27.609
001170460890,2007,034,00:01:30,4017.8, 1.506,3.15431,1.2773, 0.00,,4.2134,35.166045,-123.017614,3951.5,34.476, 1.186, 2.82, 80.6,0.860,1522.8,27.590,27.612
001170460905,2007,034,00:01:45,4017.9, 1.506,3.15431,1.2772, 0.00,,4.2135,35.166045,-123.017629,3951.6,34.476, 1.186, 2.82, 80.7,0.860,1522.8,27.589,27.612
001170460920,2007,034,00:02:00,4017.8, 1.507,3.15443,1.2775, 0.00,,4.2122,35.166051,-123.017632,3951.4,34.476, 1.188, 2.82, 80.6,0.861,1522.8,27.589,27.612
001170460935,2007,034,00:02:15,4017.9, 1.507,3.15438,1.2772, 0.00,,4.2134,35.166044,-123.017647,3951.5,34.476, 1.187, 2.82, 80.6,0.860,1522.8,27.589,27.612
001170460950,2007,034,00:02:30,4017.6, 1.508,3.15447,1.2773, 0.00,,4.2138,35.166051,-123.017657,3951.2,34.476, 1.188, 2.82, 80.7,0.860,1522.8,27.589,27.612
001170460965,2007,034,00:02:45,4017.7, 1.512,3.15442,1.2773, 0.00,,4.2135,35.166055,-123.017665,3951.3,34.472, 1.192, 2.82, 80.6,0.860,1522.8,27.585,27.608
001170460980,2007,034,00:03:00,4017.9, 1.506,3.15437,1.2773, 0.00,,4.2136,35.166057,-123.017670,3951.6,34.477, 1.186, 2.82, 80.7,0.860,1522.8,27.590,27.613
001170460995,2007,034,00:03:15,4017.9, 1.506,3.15430,1.2774, 0.00,,4.2133,35.166065,-123.017683,3951.5,34.476, 1.186, 2.82, 80.6,0.860,1522.8,27.589,27.612
001170461010,2007,034,00:03:30,4017.6, 1.506,3.15432,1.2772, 0.00,,4.2133,35.166064,-123.017694,3951.2,34.477, 1.186, 2.82, 80.6,0.860,1522.8,27.590,27.612
001170461025,2007,034,00:03:45,4017.9, 1.506,3.15436,1.2772, 0.00,,4.2138,35.166062,-123.017707,3951.5,34.476, 1.187, 2.82, 80.7,0.860,1522.8,27.590,27.612
001170461040,2007,034,00:04:00,4018.0, 1.506,3.15430,1.2770, 0.00,,4.2122,35.166066,-123.017717,3951.6,34.476, 1.186, 2.82, 80.6,0.862,1522.8,27.589,27.612
001170461055,2007,034,00:04:15,4018.0, 1.506,3.15434,1.2772, 0.00,,4.2134,35.166069,-123.017735,3951.7,34.476, 1.187, 2.82, 80.6,0.860,1522.8,27.589,27.612
001170461070,2007,034,00:04:30,4017.9, 1.506,3.15434,1.2772, 0.00,,4.2136,35.166068,-123.017750,3951.5,34.477, 1.186, 2.82, 80.7,0.860,1522.8,27.590,27.612
001170461085,2007,034,00:04:45,4017.8, 1.506,3.15433,1.2771, 0.00,,4.2135,35.166071,-123.017764,3951.4,34.476, 1.186, 2.82, 80.6,0.860,1522.8,27.589,27.612
001170461100,2007,034,00:05:00,4017.7, 1.506,3.15429,1.2769, 0.00,,4.2136,35.166071,-123.017774,3951.4,34.476, 1.186, 2.82, 80.7,0.860,1522.8,27.589,27.612
001170461115,2007,034,00:05:15,4017.8, 1.506,3.15427,1.2771, 0.00,,4.2137,35.166075,-123.017786,3951.4,34.476, 1.186, 2.82, 80.7,0.860,1522.8,27.589,27.612
001170461130,2007,034,00:05:30,4017.8, 1.506,3.15428,1.2771, 0.00,,4.2132,35.166073,-123.017804,3951.4,34.476, 1.186, 2.82, 80.6,0.860,1522.8,27.589,27.612
001170461145,2007,034,00:05:45,4017.9, 1.506,3.15432,1.2772, 0.00,,4.2127,35.166071,-123.017816,3951.5,34.476, 1.186, 2.82, 80.6,0.861,1522.8,27.590,27.612
