usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001190332800,2007,264,00:00:00,2127.9, 2.024,3.12625,0.8905, 0.00,,4.3436,35.168887,-123.016465,2101.9,34.441, 1.877, 1.78, 88.2,0.504,1492.7,27.522,27.533
001190332815,2007,264,00:00:15,2122.9, 2.028,3.12640,0.8892, 0.00,,4.3434,35.168888,-123.016449,2096.9,34.440, 1.882, 1.78, 88.1,0.505,1492.7,27.521,27.532
001190332830,2007,264,00:00:30,2115.8, 2.033,3.12635,0.8869, 0.00,,4.3018,35.168911,-123.016406,2090.0,34.438, 1.887, 1.76, 87.3,0.544,1492.6,27.519,27.530
001190332845,2007,264,00:00:45,2108.8, 2.039,3.12648,0.8854, 0.00,,4.3435,35.168923,-123.016388,2083.1,34.437, 1.893, 1.75, 88.1,0.505,1492.5,27.518,27.529
001190332860,2007,264,00:01:00,2101.7, 2.045,3.12670,0.8840, 0.00,,4.3436,35.168937,-123.016347,2076.1,34.437, 1.900, 1.75, 88.2,0.504,1492.4,27.517,27.528
001190332875,2007,264,00:01:15,2094.7, 2.046,3.12667,0.8822, 0.00,,4.3434,35.168946,-123.016337,2069.2,34.439, 1.901, 1.74, 88.1,0.505,1492.3,27.518,27.530
001190332890,2007,264,00:01:30,2087.6, 2.051,3.12662,0.8811, 0.00,,4.3436,35.168945,-123.016315,2062.2,34.436, 1.907, 1.73, 88.2,0.504,1492.2,27.516,27.527
001190332905,2007,264,00:01:45,2080.5, 2.056,3.12675,0.8802, 0.00,,4.3429,35.168949,-123.016275,2055.2,34.436, 1.912, 1.72, 88.1,0.505,1492.1,27.516,27.527
001190332920,2007,264,00:02:00,2073.3, 2.062,3.12697,0.8783, 0.00,,4.3429,35.168956,-123.016258,2048.2,34.435, 1.919, 1.71, 88.1,0.505,1492.0,27.514,27.526
001190332935,2007,264,00:02:15,2065.7, 2.069,3.12718,0.8766, 0.00,,4.3428,35.168964,-123.016245,2040.7,34.435, 1.927, 1.70, 88.1,0.505,1491.9,27.513,27.524
001190332950,2007,264,00:02:30,2058.5, 2.077,3.12747,0.8748, 0.00,,4.3431,35.168951,-123.016218,2033.6,34.433, 1.935, 1.69, 88.1,0.505,1491.8,27.512,27.523
001190332965,2007,264,00:02:45,2051.2, 2.083,3.12757,0.8731, 0.00,,4.3432,35.168939,-123.016215,2026.4,34.432, 1.941, 1.69, 88.1,0.505,1491.7,27.510,27.521
001190332980,2007,264,00:03:00,2043.7, 2.088,3.12787,0.8718, 0.00,,4.3429,35.168945,-123.016218,2019.1,34.434, 1.947, 1.68, 88.1,0.505,1491.6,27.511,27.522
001190332995,2007,264,00:03:15,2036.5, 2.095,3.12825,0.8705, 0.00,,4.3408,35.168963,-123.016216,2012.0,34.435, 1.954, 1.67, 88.1,0.507,1491.5,27.511,27.522
001190333010,2007,264,00:03:30,2029.1, 2.101,3.12832,0.8691, 0.00,,4.3425,35.168968,-123.016221,2004.7,34.433, 1.961, 1.66, 88.1,0.506,1491.4,27.509,27.520
001190333025,2007,264,00:03:45,2021.5, 2.109,3.12878,0.8674, 0.00,,4.3426,35.168958,-123.016208,1997.2,34.433, 1.970, 1.65, 88.1,0.505,1491.3,27.509,27.520
001190333040,2007,264,00:04:00,2014.0, 2.120,3.12927,0.8650, 0.00,,4.3425,35.168889,-123.016263,1989.8,34.432, 1.981, 1.64, 88.1,0.505,1491.2,27.507,27.518
001190333055,2007,264,00:04:15,2006.7, 2.124,3.12916,0.8635, 0.00,,4.3427,35.168893,-123.016268,1982.7,34.430, 1.986, 1.63, 88.1,0.505,1491.1,27.505,27.516
001190333070,2007,264,00:04:30,1999.5, 2.136,3.12999,0.8609, 0.00,,4.3426,35.168917,-123.016254,1975.6,34.431, 1.998, 1.62, 88.1,0.505,1491.1,27.505,27.516
001190333085,2007,264,00:04:45,1992.9, 2.142,3.13017,0.8585, 0.00,,4.3428,35.168915,-123.016297,1969.1,34.429, 2.005, 1.61, 88.1,0.505,1491.0,27.503,27.514
001190333100,2007,264,00:05:00,1986.4, 2.150,3.13050,0.8571, 0.00,,4.3432,35.168908,-123.016330,1962.7,34.428, 2.013, 1.60, 88.1,0.505,1490.9,27.502,27.513
001190333115,2007,264,00:05:15,1979.9, 2.162,3.13112,0.8549, 0.00,,4.3432,35.168848,-123.016453,1956.3,34.426, 2.026, 1.59, 88.1,0.505,1490.8,27.499,27.510
001190333130,2007,264,00:05:30,1973.1, 2.173,3.13173,0.8524, 0.00,,4.3435,35.168963,-123.016386,1949.6,34.425, 2.037, 1.57, 88.1,0.505,1490.8,27.497,27.508
001190333145,2007,264,00:05:45,1966.1, 2.179,3.13188,0.8512, 0.00,,4.3433,35.168991,-123.016444,1942.8,34.424, 2.043, 1.57, 88.1,0.505,1490.7,27.496,27.507
001190333160,2007,264,00:06:00,1959.1, 2.183,3.13202,0.8498, 0.00,,4.3429,35.169007,-123.016449,1935.8,34.425, 2.048, 1.56, 88.1,0.505,1490.6,27.497,27.508
001190333175,2007,264,00:06:15,1952.0, 2.184,3.13186,0.8493, 0.00,,4.3435,35.169007,-123.016452,1928.9,34.426, 2.049, 1.56, 88.2,0.504,1490.5,27.497,27.508
001190333190,2007,264,00:06:30,1945.1, 2.186,3.13174,0.8484, 0.00,,4.3436,35.168962,-123.016422,1922.1,34.425, 2.052, 1.55, 88.2,0.504,1490.4,27.496,27.507
001190333205,2007,264,00:06:45,1938.1, 2.189,3.13160,0.8466, 0.00,,4.3439,35.168924,-123.016447,1915.2,34.424, 2.055, 1.54, 88.2,0.504,1490.2,27.495,27.506
001190333220,2007,264,00:07:00,1931.2, 2.191,3.13154,0.8452, 0.00,,4.3437,35.168924,-123.016452,1908.4,34.424, 2.058, 1.53, 88.2,0.504,1490.1,27.495,27.506
