usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001181260800,2007,159,00:00:00,2264.1, 1.914,3.12044,1.2741, 0.00,,4.4975,35.168060,-123.005289,2235.6,34.420, 1.758, 1.86, 91.3,0.363,1494.5,27.514,27.526
001181260815,2007,159,00:00:15,2271.6, 1.907,3.12018,1.2751, 0.00,,4.4973,35.168060,-123.005289,2243.0,34.421, 1.750, 1.86, 91.3,0.363,1494.6,27.515,27.527
001181260830,2007,159,00:00:30,2281.1, 1.906,3.12042,1.2766, 0.00,,4.4974,35.168047,-123.005285,2252.4,34.420, 1.748, 1.87, 91.3,0.363,1494.8,27.514,27.526
001181260845,2007,159,00:00:45,2290.9, 1.896,3.12005,1.2776, 0.00,,4.4974,35.168060,-123.005286,2262.0,34.422, 1.737, 1.88, 91.3,0.363,1494.9,27.517,27.529
001181260860,2007,159,00:01:00,2299.5, 1.888,3.11974,1.2812, 0.00,,4.4969,35.168060,-123.005254,2270.4,34.422, 1.728, 1.89, 91.3,0.364,1495.0,27.518,27.530
001181260875,2007,159,00:01:15,2309.2, 1.882,3.11970,1.2851, 0.00,,4.4968,35.168060,-123.005213,2280.0,34.423, 1.722, 1.90, 91.3,0.364,1495.2,27.519,27.531
001181260890,2007,159,00:01:30,2319.3, 1.883,3.12019,1.2860, 0.00,,4.4968,35.168060,-123.005228,2289.8,34.424, 1.722, 1.91, 91.3,0.364,1495.3,27.519,27.531
001181260905,2007,159,00:01:45,2329.3, 1.878,3.12018,1.2867, 0.00,,4.4966,35.168060,-123.005228,2299.7,34.424, 1.716, 1.91, 91.3,0.364,1495.5,27.519,27.532
001181260920,2007,159,00:02:00,2337.6, 1.873,3.12012,1.2891, 0.00,,4.4967,35.168068,-123.005235,2307.8,34.424, 1.711, 1.92, 91.3,0.364,1495.6,27.520,27.533
001181260935,2007,159,00:02:15,2347.1, 1.865,3.11993,1.2924, 0.00,,4.4969,35.168091,-123.005292,2317.2,34.426, 1.702, 1.94, 91.3,0.364,1495.7,27.522,27.534
001181260950,2007,159,00:02:30,2356.9, 1.862,3.12004,1.2938, 0.00,,4.4975,35.168103,-123.005229,2326.8,34.426, 1.698, 1.94, 91.3,0.363,1495.9,27.522,27.535
001181260965,2007,159,00:02:45,2366.9, 1.855,3.11979,1.2950, 0.00,,4.4981,35.168091,-123.005228,2336.6,34.425, 1.690, 1.95, 91.3,0.363,1496.0,27.523,27.535
001181260980,2007,159,00:03:00,2377.1, 1.854,3.12022,1.2949, 0.00,,4.4984,35.168074,-123.005231,2346.6,34.427, 1.688, 1.95, 91.3,0.362,1496.2,27.524,27.537
001181260995,2007,159,00:03:15,2387.1, 1.847,3.11989,1.2957, 0.00,,4.4987,35.168060,-123.005231,2356.4,34.426, 1.680, 1.96, 91.3,0.362,1496.3,27.523,27.536
001181261010,2007,159,00:03:30,2397.2, 1.842,3.12009,1.2994, 0.00,,4.4986,35.168060,-123.005187,2366.3,34.428, 1.675, 1.97, 91.3,0.362,1496.5,27.526,27.539
001181261025,2007,159,00:03:45,2407.0, 1.837,3.12010,1.3031, 0.00,,4.4984,35.168043,-123.004972,2375.9,34.429, 1.669, 1.99, 91.3,0.362,1496.6,27.527,27.540
001181261040,2007,159,00:04:00,2413.5, 1.834,3.12019,1.3078, 0.00,,4.4984,35.168019,-123.004865,2382.3,34.430, 1.666, 2.00, 91.3,0.362,1496.7,27.528,27.541
001181261055,2007,159,00:04:15,2421.8, 1.832,3.12034,1.3103, 0.00,,4.4980,35.167999,-123.004862,2390.5,34.430, 1.663, 2.01, 91.3,0.363,1496.8,27.528,27.541
001181261070,2007,159,00:04:30,2429.5, 1.832,3.12060,1.3125, 0.00,,4.4978,35.168082,-123.005054,2398.1,34.430, 1.662, 2.02, 91.3,0.363,1497.0,27.528,27.541
001181261085,2007,159,00:04:45,2438.1, 1.829,3.12084,1.3149, 0.00,,4.4975,35.168137,-123.005202,2406.5,34.432, 1.658, 2.03, 91.3,0.363,1497.1,27.530,27.543
001181261100,2007,159,00:05:00,2445.6, 1.826,3.12085,1.3163, 0.00,,4.4974,35.168040,-123.005060,2413.9,34.432, 1.655, 2.04, 91.3,0.363,1497.2,27.530,27.543
001181261115,2007,159,00:05:15,2454.8, 1.823,3.12100,1.3195, 0.00,,4.4971,35.168060,-123.005071,2422.8,34.432, 1.651, 2.05, 91.3,0.364,1497.4,27.531,27.544
001181261130,2007,159,00:05:30,2464.5, 1.824,3.12135,1.3203, 0.00,,4.4973,35.168060,-123.005102,2432.4,34.431, 1.651, 2.05, 91.3,0.363,1497.5,27.530,27.543
001181261145,2007,159,00:05:45,2474.5, 1.817,3.12130,1.3218, 0.00,,4.4974,35.168225,-123.005353,2442.2,34.433, 1.643, 2.06, 91.3,0.363,1497.7,27.532,27.545
001181261160,2007,159,00:06:00,2484.7, 1.811,3.12119,1.3248, 0.00,,4.4973,35.168322,-123.005500,2452.2,34.433, 1.636, 2.07, 91.3,0.363,1497.8,27.532,27.546
001181261175,2007,159,00:06:15,2495.0, 1.804,3.12106,1.3288, 0.00,,4.4974,35.168116,-123.005152,2462.3,34.434, 1.629, 2.09, 91.3,0.363,1498.0,27.534,27.547
001181261190,2007,159,00:06:30,2505.2, 1.803,3.12137,1.3324, 0.00,,4.4972,35.168069,-123.005048,2472.3,34.435, 1.626, 2.10, 91.3,0.363,1498.1,27.534,27.547
001181261205,2007,159,00:06:45,2515.2, 1.798,3.12141,1.3341, 0.00,,4.4975,35.168061,-123.005039,2482.2,34.435, 1.621, 2.11, 91.3,0.363,1498.3,27.535,27.548
001181261220,2007,159,00:07:00,2523.3, 1.792,3.12125,1.3370, 0.00,,4.4975,35.168037,-123.005036,2490.1,34.435, 1.615, 2.12, 91.3,0.363,1498.4,27.535,27.549
001181261235,2007,159,00:07:15,2532.8, 1.788,3.12132,1.3403, 0.00,,4.4972,35.168060,-123.005041,2499.4,34.437, 1.609, 2.14, 91.3,0.364,1498.5,27.537,27.550
001181261250,2007,159,00:07:30,2542.6, 1.787,3.12164,1.3405, 0.00,,4.4970,35.168061,-123.005033,2509.0,34.437, 1.608, 2.14, 91.3,0.364,1498.7,27.537,27.550
001181261265,2007,159,00:07:45,2552.8, 1.783,3.12171,1.3404, 0.00,,4.4971,35.168061,-123.005033,2519.0,34.437, 1.603, 2.14, 91.3,0.364,1498.9,27.537,27.551
001181261280,2007,159,00:08:00,2560.9, 1.777,3.12154,1.3430, 0.00,,4.4972,35.168033,-123.005033,2526.9,34.437, 1.596, 2.15, 91.3,0.364,1499.0,27.538,27.552
001181261295,2007,159,00:08:15,2570.5, 1.775,3.12173,1.3452, 0.00,,4.4968,35.168031,-123.005042,2536.4,34.438, 1.593, 2.16, 91.3,0.364,1499.1,27.539,27.552
001181261310,2007,159,00:08:30,2580.6, 1.776,3.12228,1.3455, 0.00,,4.4970,35.168183,-123.005292,2546.3,34.439, 1.593, 2.17, 91.3,0.364,1499.3,27.539,27.553
001181261325,2007,159,00:08:45,2590.5, 1.775,3.12253,1.3455, 0.00,,4.4970,35.168182,-123.005286,2556.0,34.438, 1.592, 2.17, 91.3,0.364,1499.5,27.539,27.552
001181261340,2007,159,00:09:00,2600.0, 1.772,3.12274,1.3462, 0.00,,4.4968,35.168201,-123.005285,2565.3,34.439, 1.588, 2.18, 91.3,0.364,1499.6,27.540,27.554
001181261355,2007,159,00:09:15,2609.6, 1.770,3.12286,1.3467, 0.00,,4.4970,35.168254,-123.005286,2574.7,34.438, 1.585, 2.18, 91.3,0.364,1499.8,27.539,27.553
001181261370,2007,159,00:09:30,2619.6, 1.761,3.12256,1.3479, 0.00,,4.4971,35.168274,-123.005289,2584.5,34.439, 1.576, 2.19, 91.3,0.364,1499.9,27.541,27.554
001181261385,2007,159,00:09:45,2629.4, 1.759,3.12278,1.3502, 0.00,,4.4971,35.168275,-123.005286,2594.1,34.440, 1.572, 2.20, 91.3,0.364,1500.1,27.541,27.555
001181261400,2007,159,00:10:00,2637.6, 1.755,3.12280,1.3511, 0.00,,4.4973,35.168274,-123.005274,2602.2,34.440, 1.568, 2.20, 91.3,0.363,1500.2,27.542,27.556
001181261415,2007,159,00:10:15,2647.4, 1.754,3.12303,1.3524, 0.00,,4.4970,35.168286,-123.005286,2611.8,34.440, 1.566, 2.21, 91.3,0.364,1500.3,27.542,27.556
001181261430,2007,159,00:10:30,2656.9, 1.752,3.12328,1.3532, 0.00,,4.4973,35.168333,-123.005285,2621.2,34.441, 1.563, 2.22, 91.3,0.363,1500.5,27.543,27.557
001181261445,2007,159,00:10:45,2666.5, 1.749,3.12338,1.3546, 0.00,,4.4973,35.168349,-123.005251,2630.5,34.441, 1.559, 2.22, 91.3,0.363,1500.6,27.543,27.557
001181261460,2007,159,00:11:00,2673.8, 1.746,3.12346,1.3566, 0.00,,4.4973,35.168335,-123.005255,2637.7,34.441, 1.556, 2.23, 91.3,0.363,1500.8,27.543,27.557
001181261475,2007,159,00:11:15,2683.4, 1.742,3.12352,1.3576, 0.00,,4.4972,35.168335,-123.005231,2647.0,34.442, 1.551, 2.24, 91.3,0.363,1500.9,27.544,27.558
001181261490,2007,159,00:11:30,2693.3, 1.740,3.12365,1.3595, 0.00,,4.4974,35.168335,-123.005228,2656.8,34.440, 1.548, 2.25, 91.3,0.363,1501.1,27.543,27.557
001181261505,2007,159,00:11:45,2703.3, 1.734,3.12363,1.3610, 0.00,,4.4974,35.168336,-123.005218,2666.6,34.442, 1.541, 2.25, 91.3,0.363,1501.2,27.545,27.560
001181261520,2007,159,00:12:00,2711.3, 1.731,3.12378,1.3632, 0.00,,4.4974,35.168335,-123.005219,2674.4,34.443, 1.538, 2.26, 91.3,0.363,1501.3,27.546,27.560
001181261535,2007,159,00:12:15,2720.7, 1.730,3.12400,1.3641, 0.00,,4.4972,35.168335,-123.005218,2683.6,34.443, 1.536, 2.27, 91.3,0.364,1501.5,27.546,27.560
001181261550,2007,159,00:12:30,2730.3, 1.731,3.12435,1.3640, 0.00,,4.4974,35.168336,-123.005219,2693.0,34.442, 1.535, 2.27, 91.3,0.363,1501.7,27.545,27.560
001181261565,2007,159,00:12:45,2740.4, 1.727,3.12447,1.3636, 0.00,,4.4977,35.168336,-123.005216,2702.9,34.443, 1.531, 2.27, 91.3,0.363,1501.8,27.546,27.561
001181261580,2007,159,00:13:00,2750.3, 1.724,3.12461,1.3640, 0.00,,4.4981,35.168336,-123.005216,2712.7,34.442, 1.527, 2.28, 91.3,0.363,1502.0,27.546,27.561
001181261595,2007,159,00:13:15,2760.4, 1.718,3.12462,1.3658, 0.00,,4.4985,35.168336,-123.005231,2722.6,34.444, 1.521, 2.29, 91.3,0.362,1502.1,27.548,27.563
001181261610,2007,159,00:13:30,2770.6, 1.716,3.12481,1.3665, 0.00,,4.4986,35.168335,-123.005225,2732.6,34.444, 1.517, 2.29, 91.3,0.362,1502.3,27.548,27.563
001181261625,2007,159,00:13:45,2780.9, 1.712,3.12491,1.3692, 0.00,,4.4986,35.168335,-123.005225,2742.7,34.445, 1.512, 2.31, 91.3,0.362,1502.4,27.549,27.564
001181261640,2007,159,00:14:00,2790.8, 1.709,3.12507,1.3712, 0.00,,4.4983,35.168336,-123.005221,2752.4,34.446, 1.508, 2.32, 91.3,0.363,1502.6,27.550,27.565
001181261655,2007,159,00:14:15,2800.6, 1.706,3.12522,1.3743, 0.00,,4.4977,35.168335,-123.005231,2762.0,34.446, 1.504, 2.33, 91.3,0.363,1502.7,27.551,27.566
001181261670,2007,159,00:14:30,2808.4, 1.703,3.12529,1.3768, 0.00,,4.4977,35.168335,-123.005222,2769.6,34.446, 1.501, 2.34, 91.3,0.363,1502.9,27.551,27.566
001181261685,2007,159,00:14:45,2817.9, 1.701,3.12551,1.3795, 0.00,,4.4972,35.168336,-123.005219,2778.9,34.447, 1.498, 2.35, 91.3,0.363,1503.0,27.552,27.567
001181261700,2007,159,00:15:00,2827.9, 1.699,3.12574,1.3809, 0.00,,4.4972,35.168335,-123.005216,2788.7,34.447, 1.495, 2.36, 91.3,0.363,1503.2,27.552,27.567
001181261715,2007,159,00:15:15,2837.8, 1.699,3.12621,1.3813, 0.00,,4.4971,35.168336,-123.005219,2798.4,34.448, 1.495, 2.36, 91.3,0.364,1503.4,27.552,27.568
