usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001166054400,2006,348,00:00:00,4019.1, 1.503,3.15902,1.4403, 0.00,,4.2931,35.166447,-123.013166,3952.6,34.537, 1.183, 3.46, 82.2,0.784,1522.9,27.638,27.661
001166054415,2006,348,00:00:15,4019.1, 1.503,3.15902,1.4384, 0.00,,4.2929,35.166447,-123.013115,3952.6,34.536, 1.183, 3.46, 82.2,0.785,1522.9,27.638,27.660
001166054430,2006,348,00:00:30,4019.3, 1.503,3.15901,1.4312, 0.00,,4.2924,35.166529,-123.012934,3952.8,34.536, 1.183, 3.43, 82.2,0.785,1522.9,27.638,27.660
001166054445,2006,348,00:00:45,4019.2, 1.503,3.15899,1.4316, 0.00,,4.2930,35.166604,-123.012838,3952.6,34.536, 1.183, 3.43, 82.2,0.784,1522.9,27.638,27.660
001166054460,2006,348,00:01:00,4018.9, 1.504,3.15904,1.4351, 0.00,,4.2932,35.166526,-123.012883,3952.4,34.536, 1.184, 3.44, 82.2,0.784,1522.9,27.638,27.660
001166054475,2006,348,00:01:15,4019.0, 1.503,3.15910,1.4436, 0.00,,4.2931,35.166931,-123.012914,3952.5,34.537, 1.183, 3.48, 82.2,0.784,1522.9,27.639,27.661
001166054490,2006,348,00:01:30,4018.3, 1.504,3.15906,1.4500, 0.00,,4.2927,35.167116,-123.012895,3951.8,34.536, 1.184, 3.50, 82.2,0.785,1522.9,27.638,27.660
001166054505,2006,348,00:01:45,4018.5, 1.503,3.15905,1.4382, 0.00,,4.2931,35.167130,-123.012901,3952.0,34.537, 1.183, 3.45, 82.2,0.784,1522.9,27.638,27.661
001166054520,2006,348,00:02:00,4018.6, 1.503,3.15900,1.4318, 0.00,,4.2931,35.167089,-123.012895,3952.1,34.536, 1.183, 3.43, 82.2,0.784,1522.9,27.638,27.660
001166054535,2006,348,00:02:15,4018.2, 1.503,3.15901,1.4461, 0.00,,4.2930,35.167066,-123.013025,3951.7,34.537, 1.183, 3.49, 82.2,0.784,1522.9,27.638,27.661
001166054550,2006,348,00:02:30,4017.5, 1.503,3.15890,1.4361, 0.00,,4.2923,35.167035,-123.013130,3951.0,34.536, 1.183, 3.45, 82.2,0.785,1522.9,27.637,27.660
001166054565,2006,348,00:02:45,4017.5, 1.503,3.15892,1.4396, 0.00,,4.2930,35.167034,-123.013111,3951.0,34.537, 1.183, 3.46, 82.2,0.784,1522.9,27.638,27.661
001166054580,2006,348,00:03:00,4017.7, 1.503,3.15892,1.4349, 0.00,,4.2931,35.167043,-123.012941,3951.2,34.536, 1.183, 3.44, 82.2,0.784,1522.9,27.638,27.660
001166054595,2006,348,00:03:15,4018.2, 1.504,3.15899,1.4258, 0.00,,4.2929,35.167018,-123.012954,3951.7,34.535, 1.184, 3.41, 82.2,0.785,1522.9,27.637,27.660
001166054610,2006,348,00:03:30,4017.9, 1.504,3.15895,1.4265, 0.00,,4.2928,35.167177,-123.012912,3951.4,34.536, 1.184, 3.41, 82.2,0.785,1522.9,27.637,27.660
001166054625,2006,348,00:03:45,4017.8, 1.504,3.15896,1.4344, 0.00,,4.2931,35.167259,-123.012972,3951.3,34.536, 1.184, 3.44, 82.2,0.784,1522.9,27.637,27.660
001166054640,2006,348,00:04:00,4018.0, 1.504,3.15898,1.4373, 0.00,,4.2925,35.167303,-123.012871,3951.5,34.535, 1.184, 3.45, 82.2,0.785,1522.9,27.637,27.660
001166054655,2006,348,00:04:15,4017.8, 1.503,3.15892,1.4353, 0.00,,4.2918,35.167291,-123.012811,3951.4,34.535, 1.183, 3.44, 82.2,0.786,1522.9,27.637,27.660
001166054670,2006,348,00:04:30,4017.1, 1.504,3.15896,1.4403, 0.00,,4.2912,35.167317,-123.012878,3950.6,34.536, 1.184, 3.46, 82.2,0.786,1522.9,27.638,27.660
001166054685,2006,348,00:04:45,4016.8, 1.504,3.15895,1.4348, 0.00,,4.2912,35.167307,-123.012880,3950.3,34.536, 1.184, 3.44, 82.2,0.786,1522.8,27.638,27.660
001166054700,2006,348,00:05:00,4018.0, 1.503,3.15904,1.4316, 0.00,,4.2912,35.167287,-123.012829,3951.6,34.537, 1.183, 3.43, 82.2,0.786,1522.9,27.638,27.661
001166054715,2006,348,00:05:15,4018.5, 1.503,3.15914,1.4286, 0.00,,4.2895,35.167298,-123.012751,3952.0,34.538, 1.183, 3.42, 82.1,0.788,1522.9,27.639,27.662
001166054730,2006,348,00:05:30,4019.0, 1.503,3.15918,1.4293, 0.00,,4.2918,35.167262,-123.012760,3952.5,34.538, 1.183, 3.42, 82.2,0.786,1522.9,27.639,27.662
001166054745,2006,348,00:05:45,4018.6, 1.505,3.15916,1.4312, 0.00,,4.2912,35.167163,-123.012723,3952.1,34.537, 1.184, 3.43, 82.2,0.786,1522.9,27.638,27.661
