usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001190505600,2007,266,00:00:00,3935.3, 1.505,3.15285,0.9984, 0.00,,4.3266,35.168255,-123.018445,3870.9,34.494, 1.194, 2.93, 87.8,0.520,1521.4,27.604,27.626
001190505615,2007,266,00:00:15,3929.5, 1.508,3.15292,0.9967, 0.00,,4.3284,35.168244,-123.018470,3865.2,34.494, 1.198, 2.91, 87.8,0.519,1521.3,27.604,27.625
001190505630,2007,266,00:00:30,3922.0, 1.516,3.15325,0.9933, 0.00,,4.3315,35.168243,-123.018476,3857.9,34.493, 1.206, 2.89, 87.9,0.516,1521.2,27.602,27.624
001190505645,2007,266,00:00:45,3914.6, 1.519,3.15322,0.9905, 0.00,,4.3321,35.168223,-123.018456,3850.8,34.493, 1.210, 2.87, 87.9,0.515,1521.1,27.602,27.624
001190505660,2007,266,00:01:00,3907.2, 1.520,3.15305,0.9891, 0.00,,4.3322,35.168193,-123.018429,3843.5,34.492, 1.212, 2.86, 87.9,0.515,1521.0,27.601,27.623
001190505675,2007,266,00:01:15,3900.0, 1.522,3.15291,0.9882, 0.00,,4.3336,35.168191,-123.018387,3836.5,34.492, 1.215, 2.85, 87.9,0.514,1520.9,27.601,27.623
001190505690,2007,266,00:01:30,3892.8, 1.524,3.15280,0.9876, 0.00,,4.3349,35.168193,-123.018409,3829.4,34.492, 1.217, 2.85, 88.0,0.513,1520.7,27.601,27.622
001190505705,2007,266,00:01:45,3885.3, 1.525,3.15265,0.9869, 0.00,,4.3360,35.168182,-123.018365,3822.1,34.492, 1.219, 2.84, 88.0,0.512,1520.6,27.601,27.622
001190505720,2007,266,00:02:00,3877.5, 1.527,3.15252,0.9868, 0.00,,4.3370,35.168182,-123.018374,3814.6,34.492, 1.222, 2.83, 88.0,0.511,1520.5,27.600,27.622
001190505735,2007,266,00:02:15,3869.7, 1.528,3.15232,0.9864, 0.00,,4.3379,35.168182,-123.018334,3806.9,34.491, 1.224, 2.83, 88.0,0.510,1520.4,27.600,27.621
001190505750,2007,266,00:02:30,3862.1, 1.528,3.15207,0.9862, 0.00,,4.3382,35.168183,-123.018348,3799.6,34.491, 1.225, 2.83, 88.0,0.510,1520.2,27.600,27.621
001190505765,2007,266,00:02:45,3854.3, 1.528,3.15181,0.9864, 0.00,,4.3391,35.168172,-123.018351,3791.9,34.491, 1.225, 2.82, 88.1,0.509,1520.1,27.600,27.621
