usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001170269760,2007,031,18:56:00,   2.5,12.175,3.82335,3.6770, 0.00,,4.0506,36.699240,-122.084738,   2.4,33.128,12.175, 5.70, 77.5,1.020,1495.2,25.103,25.103
001170269775,2007,031,18:56:15,   5.3,12.175,3.82373,3.6755, 0.00,,4.0670,36.699240,-122.084738,   5.2,33.130,12.175, 5.70, 77.8,1.004,1495.3,25.104,25.104
001170269790,2007,031,18:56:30,  11.1,12.167,3.82495,3.6708, 0.00,,4.0798,36.699240,-122.084738,  11.0,33.146,12.166, 5.69, 78.1,0.991,1495.4,25.118,25.119
001170269805,2007,031,18:56:45,  15.8,12.152,3.82477,3.6543, 0.00,,4.0907,36.699240,-122.084738,  15.7,33.156,12.150, 5.67, 78.3,0.980,1495.4,25.129,25.130
001170269820,2007,031,18:57:00,  19.7,12.134,3.82368,3.6417, 0.00,,4.1034,36.699240,-122.084738,  19.6,33.160,12.131, 5.65, 78.5,0.968,1495.4,25.135,25.136
001170269835,2007,031,18:57:15,  21.4,12.140,3.82422,3.6407, 0.00,,4.0946,36.699240,-122.084738,  21.2,33.159,12.137, 5.65, 78.3,0.976,1495.4,25.134,25.134
001170269850,2007,031,18:57:30,  24.7,12.150,3.82545,3.6511, 0.00,,4.0850,36.699240,-122.084738,  24.6,33.160,12.147, 5.67, 78.2,0.986,1495.5,25.133,25.133
001170269865,2007,031,18:57:45,  26.8,12.138,3.82457,3.6467, 0.00,,4.0978,36.699240,-122.084738,  26.6,33.162,12.135, 5.67, 78.4,0.973,1495.5,25.136,25.137
001170269880,2007,031,18:58:00,  30.2,12.109,3.82285,3.6099, 0.00,,4.1253,36.699240,-122.084738,  29.9,33.170,12.105, 5.60, 78.9,0.946,1495.5,25.148,25.149
001170269895,2007,031,18:58:15,  30.9,12.117,3.82318,3.6172, 0.00,,4.1185,36.699240,-122.084738,  30.7,33.165,12.113, 5.62, 78.8,0.953,1495.5,25.143,25.144
001170269910,2007,031,18:58:30,  35.5,12.100,3.82204,3.5975, 0.00,,4.1352,36.699240,-122.084738,  35.3,33.168,12.095, 5.59, 79.1,0.936,1495.6,25.148,25.149
001170269925,2007,031,18:58:45,  36.3,12.067,3.81914,3.5665, 0.00,,4.1392,36.699240,-122.084738,  36.0,33.169,12.062, 5.53, 79.2,0.932,1495.5,25.155,25.156
001170269940,2007,031,18:59:00,  35.8,12.053,3.81837,3.5424, 0.00,,4.1395,36.699240,-122.084738,  35.5,33.174,12.048, 5.49, 79.2,0.932,1495.4,25.162,25.163
001170269955,2007,031,18:59:15,  36.1,12.054,3.81837,3.5406, 0.00,,4.1383,36.699240,-122.084738,  35.8,33.172,12.050, 5.49, 79.2,0.933,1495.4,25.160,25.161
001170269970,2007,031,18:59:30,  39.7,12.044,3.81772,3.5342, 0.00,,4.1413,36.699240,-122.084738,  39.4,33.174,12.038, 5.48, 79.2,0.930,1495.4,25.164,25.165
