usec,rovCtdDtg,rovCtdDtgFlag,vehicle,depth,depthFlag,temper,temperFlag,salin,salinFlag,oxyg,oxygFlag,light,lightFlag,sound,soundFlag,sigmatheta,sigmathetaFlag,lat,latFlag,lon,lonFlag
1339422330,06/11/2012 13:45:30,2,docr,2.68,0,,0,,0,,0,30.26,2,,0,,0,35.133278,2,-122.929822,2
1339422345,06/11/2012 13:45:45,2,docr,2.58,0,14.528,0,31.352,0,4.045,0,31.59,0,1500.944,0,23.2617,0,35.133278,2,-122.929822,2
1339422360,06/11/2012 13:46:00,2,docr,2.58,0,14.522,0,31.409,0,3.899,0,17.09,0,1500.991,0,23.3068,0,35.133278,2,-122.929822,2
1339422375,06/11/2012 13:46:15,2,docr,2.68,0,13.951,0,,0,,0,28.73,0,,0,,0,35.133278,2,-122.929822,2
1339422390,06/11/2012 13:46:30,2,docr,2.58,0,13.701,0,31.18,0,4.005,0,33.05,0,1498.04,0,23.298,0,35.133278,2,-122.929822,2
1339422405,06/11/2012 13:46:45,2,docr,2.58,2,13.254,2,32.893,2,6.736,0,29.28,0,1498.577,2,24.7114,2,35.133278,2,-122.929822,2
1339422420,06/11/2012 13:47:00,2,docr,2.68,2,13.245,2,32.814,2,6.458,0,36.45,0,1498.455,2,24.652,2,35.133278,2,-122.929822,2
1339422435,06/11/2012 13:47:15,2,docr,2.58,2,13.234,2,32.879,2,7.181,0,28.58,0,1498.493,2,24.7045,2,35.133278,2,-122.929822,2
1339422450,06/11/2012 13:47:30,2,docr,2.58,0,13.231,0,32.807,0,6.911,0,31.63,0,1498.398,0,24.6494,0,35.133278,2,-122.929822,2
1339422465,06/11/2012 13:47:45,2,docr,2.78,0,13.231,0,32.825,0,6.837,0,58.77,0,1498.423,0,24.6633,0,35.133278,2,-122.929822,2
1339422480,06/11/2012 13:48:00,2,docr,7.54,2,13.237,2,32.96,2,6.859,0,82.92,2,1498.682,2,24.7667,2,35.133278,2,-122.929822,2
1339422495,06/11/2012 13:48:15,2,docr,13.9,2,13.099,2,32.954,2,4.272,2,83.48,2,1498.321,2,24.7897,2,35.11569146,2,-122.9927402,2
1339422510,06/11/2012 13:48:30,2,docr,15.88,2,13.066,2,32.957,2,4.451,2,83.53,2,1498.247,2,24.7985,2,35.089315,2,-123.087104,2
1339422525,06/11/2012 13:48:45,2,docr,17.27,2,13.059,2,32.958,2,4.585,2,83.54,2,1498.248,2,24.8007,2,35.08926526,2,-123.08703,2
1339422540,06/11/2012 13:49:00,2,docr,17.47,2,13.06,2,32.958,2,4.599,2,83.5,2,1498.255,2,24.8006,2,35.0892398,2,-123.08698113,2
1339422555,06/11/2012 13:49:15,2,docr,22.14,2,13.061,2,32.958,2,4.7,2,83.54,2,1498.336,2,24.8005,2,35.089219,2,-123.086938,2
1339422570,06/11/2012 13:49:30,2,docr,22.63,2,13.059,2,32.958,2,4.739,2,83.57,2,1498.337,2,24.8009,2,35.08915826,2,-123.08692386,2
1339422585,06/11/2012 13:49:45,2,docr,26.01,2,13.058,2,32.958,2,4.754,2,83.6,2,1498.39,2,24.8012,2,35.08910386,2,-123.0868786,2
1339422600,06/11/2012 13:50:00,2,docr,29.08,2,13.059,2,32.968,2,4.772,2,83.63,2,1498.456,2,24.8088,2,35.089034,2,-123.086801,2
1339422615,06/11/2012 13:50:15,2,docr,29.58,2,13.063,2,32.985,2,4.797,2,83.65,2,1498.498,2,24.8212,2,35.08905246,2,-123.08675173,2
1339422630,06/11/2012 13:50:30,2,docr,32.66,2,13.065,2,32.99,2,4.803,2,83.61,2,1498.562,2,24.8247,2,35.08905813,2,-123.0867332,2
1339422645,06/11/2012 13:50:45,2,docr,35.83,2,13.087,2,33.019,2,4.813,2,83.52,2,1498.722,2,24.8429,2,35.089053,2,-123.086709,2
