usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001170288000,2007,032,00:00:00,4016.8, 1.503,3.15407,1.2826, 0.00,,4.2142,35.161913,-123.013323,3950.4,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170288015,2007,032,00:00:15,4015.7, 1.504,3.15401,1.2828, 0.00,,4.2140,35.161913,-123.013323,3949.3,34.476, 1.185, 2.84, 80.7,0.860,1522.8,27.589,27.611
001170288030,2007,032,00:00:30,4016.3, 1.504,3.15404,1.2828, 0.00,,4.2144,35.161913,-123.013323,3949.9,34.476, 1.185, 2.84, 80.7,0.859,1522.8,27.589,27.612
001170288045,2007,032,00:00:45,4017.2, 1.504,3.15408,1.2827, 0.00,,4.2134,35.161913,-123.013323,3950.8,34.476, 1.184, 2.84, 80.6,0.860,1522.8,27.589,27.612
001170288060,2007,032,00:01:00,4017.3, 1.504,3.15406,1.2822, 0.00,,4.2146,35.161913,-123.013323,3950.8,34.476, 1.184, 2.84, 80.7,0.859,1522.8,27.589,27.611
001170288075,2007,032,00:01:15,4017.2, 1.504,3.15406,1.2829, 0.00,,4.2148,35.161913,-123.013323,3950.8,34.476, 1.184, 2.84, 80.7,0.859,1522.8,27.589,27.612
001170288090,2007,032,00:01:30,4017.4, 1.504,3.15409,1.2828, 0.00,,4.2143,35.161913,-123.013323,3951.0,34.476, 1.184, 2.84, 80.7,0.859,1522.8,27.589,27.612
001170288105,2007,032,00:01:45,4017.4, 1.504,3.15408,1.2830, 0.00,,4.2141,35.161913,-123.013323,3951.0,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170288120,2007,032,00:02:00,4017.5, 1.504,3.15407,1.2824, 0.00,,4.2139,35.161913,-123.013323,3951.1,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170288135,2007,032,00:02:15,4017.7, 1.504,3.15416,1.2823, 0.00,,4.2138,35.161913,-123.013323,3951.2,34.477, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170288150,2007,032,00:02:30,4017.6, 1.504,3.15413,1.2819, 0.00,,4.2136,35.161913,-123.013323,3951.2,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170288165,2007,032,00:02:45,4017.6, 1.504,3.15409,1.2821, 0.00,,4.2139,35.161913,-123.013323,3951.1,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170288180,2007,032,00:03:00,4017.2, 1.504,3.15410,1.2820, 0.00,,4.2139,35.161913,-123.013323,3950.7,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170288195,2007,032,00:03:15,4017.3, 1.504,3.15410,1.2817, 0.00,,4.2134,35.161913,-123.013323,3950.9,34.476, 1.184, 2.84, 80.6,0.860,1522.8,27.589,27.612
001170288210,2007,032,00:03:30,4017.6, 1.504,3.15409,1.2821, 0.00,,4.2137,35.161913,-123.013323,3951.1,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170288225,2007,032,00:03:45,4017.5, 1.504,3.15411,1.2819, 0.00,,4.2137,35.161913,-123.013323,3951.0,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.590,27.612
001170288240,2007,032,00:04:00,4017.7, 1.504,3.15410,1.2822, 0.00,,4.2137,35.161913,-123.013323,3951.2,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170288255,2007,032,00:04:15,4017.6, 1.504,3.15412,1.2821, 0.00,,4.2137,35.161913,-123.013323,3951.2,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170288270,2007,032,00:04:30,4017.6, 1.504,3.15411,1.2817, 0.00,,4.2136,35.161913,-123.013323,3951.2,34.476, 1.184, 2.84, 80.7,0.860,1522.8,27.589,27.612
001170288285,2007,032,00:04:45,4017.8, 1.504,3.15411,1.2817, 0.00,,4.2134,35.161913,-123.013323,3951.3,34.476, 1.184, 2.84, 80.6,0.860,1522.8,27.589,27.612
