Lat:    34.8333, Lon:  -123.0000, Parameter: z(m)
Depth (m):        NaN
Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
Time start: 00:00, 11.10.2017 
Time step (min):      60.00
Time Series length (hours):8183
16-Nov-2017 05:59:59     0.2382
16-Nov-2017 06:59:59     0.0405
16-Nov-2017 07:59:59    -0.1795
16-Nov-2017 08:59:59    -0.3532
16-Nov-2017 09:59:59    -0.4239
16-Nov-2017 10:59:59    -0.3613
16-Nov-2017 11:59:59    -0.1707
16-Nov-2017 12:59:59     0.1083
16-Nov-2017 13:59:59     0.4103
16-Nov-2017 14:59:59     0.6611
16-Nov-2017 15:59:59     0.7958
16-Nov-2017 16:59:59     0.7753
16-Nov-2017 17:59:59     0.5968
16-Nov-2017 18:59:59     0.2944
16-Nov-2017 19:59:59    -0.0682
16-Nov-2017 20:59:59    -0.4137
16-Nov-2017 21:59:59    -0.6692
16-Nov-2017 22:59:59    -0.7844
16-Nov-2017 23:59:59    -0.7427
17-Nov-2017 00:59:59    -0.5647
17-Nov-2017 01:59:59    -0.3024
17-Nov-2017 02:59:59    -0.0250
17-Nov-2017 03:59:59     0.1986
17-Nov-2017 04:59:59     0.3174
17-Nov-2017 05:59:59     0.3110
17-Nov-2017 06:59:59     0.1939
17-Nov-2017 07:59:59     0.0111
17-Nov-2017 08:59:59    -0.1744
17-Nov-2017 09:59:59    -0.2988
17-Nov-2017 10:59:59    -0.3148
17-Nov-2017 11:59:59    -0.2047
17-Nov-2017 12:59:59     0.0143
17-Nov-2017 13:59:59     0.2937
17-Nov-2017 14:59:59     0.5656
17-Nov-2017 15:59:59     0.7598
17-Nov-2017 16:59:59     0.8215
17-Nov-2017 17:59:59     0.7256
17-Nov-2017 18:59:59     0.4835
17-Nov-2017 19:59:59     0.1409
17-Nov-2017 20:59:59    -0.2326
17-Nov-2017 21:59:59    -0.5607
17-Nov-2017 22:59:59    -0.7780
17-Nov-2017 23:59:59    -0.8456
18-Nov-2017 00:59:59    -0.7598
18-Nov-2017 01:59:59    -0.5520
18-Nov-2017 02:59:59    -0.2798
18-Nov-2017 03:59:59    -0.0119
18-Nov-2017 04:59:59     0.1894
18-Nov-2017 05:59:59     0.2837
18-Nov-2017 06:59:59     0.2618
18-Nov-2017 07:59:59     0.1474
18-Nov-2017 08:59:59    -0.0107
18-Nov-2017 09:59:59    -0.1519
18-Nov-2017 10:59:59    -0.2212
18-Nov-2017 11:59:59    -0.1839
18-Nov-2017 12:59:59    -0.0358
18-Nov-2017 13:59:59     0.1950
18-Nov-2017 14:59:59     0.4547
18-Nov-2017 15:59:59     0.6773
18-Nov-2017 16:59:59     0.8013
18-Nov-2017 17:59:59     0.7857
18-Nov-2017 18:59:59     0.6206
18-Nov-2017 19:59:59     0.3311
18-Nov-2017 20:59:59    -0.0290
18-Nov-2017 21:59:59    -0.3891
18-Nov-2017 22:59:59    -0.6785
18-Nov-2017 23:59:59    -0.8435
19-Nov-2017 00:59:59    -0.8589
19-Nov-2017 01:59:59    -0.7337
19-Nov-2017 02:59:59    -0.5073
19-Nov-2017 03:59:59    -0.2393
19-Nov-2017 04:59:59     0.0065
19-Nov-2017 05:59:59     0.1778
19-Nov-2017 06:59:59     0.2462
19-Nov-2017 07:59:59     0.2139
19-Nov-2017 08:59:59     0.1109
19-Nov-2017 09:59:59    -0.0136
19-Nov-2017 10:59:59    -0.1055
19-Nov-2017 11:59:59    -0.1214
19-Nov-2017 12:59:59    -0.0403
19-Nov-2017 13:59:59     0.1295
19-Nov-2017 14:59:59     0.3523
19-Nov-2017 15:59:59     0.5732
19-Nov-2017 16:59:59     0.7328
19-Nov-2017 17:59:59     0.7817
19-Nov-2017 18:59:59     0.6941
19-Nov-2017 19:59:59     0.4749
19-Nov-2017 20:59:59     0.1593
19-Nov-2017 21:59:59    -0.1949
19-Nov-2017 22:59:59    -0.5207
19-Nov-2017 23:59:59    -0.7575
20-Nov-2017 00:59:59    -0.8648
20-Nov-2017 01:59:59    -0.8314
20-Nov-2017 02:59:59    -0.6765
20-Nov-2017 03:59:59    -0.4443
20-Nov-2017 04:59:59    -0.1920
20-Nov-2017 05:59:59     0.0247
20-Nov-2017 06:59:59     0.1651
20-Nov-2017 07:59:59     0.2126
20-Nov-2017 08:59:59     0.1781
20-Nov-2017 09:59:59     0.0947
20-Nov-2017 10:59:59     0.0083
20-Nov-2017 11:59:59    -0.0365
20-Nov-2017 12:59:59    -0.0085
20-Nov-2017 13:59:59     0.1003
20-Nov-2017 14:59:59     0.2724
20-Nov-2017 15:59:59     0.4685
20-Nov-2017 16:59:59     0.6373
20-Nov-2017 17:59:59     0.7288
20-Nov-2017 18:59:59     0.7076
20-Nov-2017 19:59:59     0.5623
20-Nov-2017 20:59:59     0.3093
20-Nov-2017 21:59:59    -0.0099
20-Nov-2017 22:59:59    -0.3384
20-Nov-2017 23:59:59    -0.6165
21-Nov-2017 00:59:59    -0.7955
21-Nov-2017 01:59:59    -0.8484
21-Nov-2017 02:59:59    -0.7753
21-Nov-2017 03:59:59    -0.6025
21-Nov-2017 04:59:59    -0.3749
21-Nov-2017 05:59:59    -0.1444
21-Nov-2017 06:59:59     0.0429
21-Nov-2017 07:59:59     0.1573
21-Nov-2017 08:59:59     0.1922
21-Nov-2017 09:59:59     0.1633
21-Nov-2017 10:59:59     0.1036
21-Nov-2017 11:59:59     0.0528
21-Nov-2017 12:59:59     0.0456
21-Nov-2017 13:59:59     0.1015
21-Nov-2017 14:59:59     0.2190
21-Nov-2017 15:59:59     0.3754
21-Nov-2017 16:59:59     0.5319
21-Nov-2017 17:59:59     0.6440
21-Nov-2017 18:59:59     0.6727
21-Nov-2017 19:59:59     0.5954
21-Nov-2017 20:59:59     0.4122
21-Nov-2017 21:59:59     0.1470
21-Nov-2017 22:59:59    -0.1569
21-Nov-2017 23:59:59    -0.4471
22-Nov-2017 00:59:59    -0.6730
22-Nov-2017 01:59:59    -0.7977
22-Nov-2017 02:59:59    -0.8052
22-Nov-2017 03:59:59    -0.7039
